Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,28/02/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410063522,"£43,955.92",Q3 2016/17 REC,
Department of Health,03F,28/02/2017,Cont Care- Palliative Care,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410016879,"£35,320.68",SEPT 16 NIGHT SITS,
Department of Health,03F,28/02/2017,Charges from CSU,COMMISSIONING,NHS NORTH OF ENGLAND CSU,7310007342,"£39,937.00",SERVICE DELIVERY LOT 2B JAN 17,
Department of Health,03F,28/02/2017,Hlthcre-Foundation Trsts,COMMISSIONING,HUMBER NHS FOUNDATION TRUST,1010009728,"£32,687.41",RECHARGE OF 2016/17 COSTS FOR MORRILL STREET HC,
Department of Health,03F,28/02/2017,Audit Fees Internal - Fdtn Trust,COMMISSIONING,HUMBER NHS FOUNDATION TRUST,1010010153,"£28,800.00",PROVISION OF 90 DAY INTERNAL AUDIT OCT TO DEC 2016,
Department of Health,03F,28/02/2017,Hcare Srv Rec Fdtn Trust-CQUIN,COMMISSIONING,HUMBER NHS FOUNDATION TRUST,1010010185,"£2,784,701.54",FEBRUARY 2017 BLOCK,
Department of Health,03F,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410061805,"£53,062.17",FEB 17 BLOCK,
Department of Health,03F,28/02/2017,Hcare Srv Rec NHS Trust-Non Contract,COMMISSIONING,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,2000081143,"£34,510.63",NCA M9 2016/17 FLEX,
Department of Health,03F,28/02/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMISSIONING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400013858,"£27,460.45",NCA MONTH 6 2016/17,
Department of Health,03F,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,COMMISSIONING,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017393,"£824,459.00",A&E CQUINS FEBRUARY 2017,
Department of Health,03F,28/02/2017,Hcare Srv Rec NHS Trust,COMMISSIONING,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017446,"£58,757.45",FEB 16 BLOCK,
Department of Health,03F,28/02/2017,Hcare Srv Rec NHS Trust-Contract Baseline,COMMISSIONING,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017475,"£117,810.00",FEB 17 BLOCK,
Department of Health,03F,28/02/2017,Hlthcre-Foundation Trsts,CHC ADULT FULLY FUNDED,HUMBER NHS FOUNDATION TRUST,814,"-£32,687.41",CREDIT TO CANCEL RECHARGE OF 2016/17 COSTS FOR MORRILL STREET HC,
Department of Health,03F,28/02/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,NCAS/OATS,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0005286,"£3,631,000.00",YEAR END CONTRACT OVERTRADE 16/17,
Department of Health,03F,28/02/2017,Hcare Srv Rec NHS Trust-CQUIN,NCAS/OATS,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0005315,"£14,383,333.00",FEBRUARY 17 BLOCK,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,SRCL LTD,1062604,"£29,501.30",NON PTS SERVICE / PATHOLOGY FEE,
