Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,29/02/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000038011,"£90,873.14",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000038013,"£55,370.51",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-APMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000038014,"-£25,061.24",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000038015,"£62,244.03",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000038016,"-£38,827.73",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000038017,"£301,386.47",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-APMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000038018,"-£148,128.51",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000038019,"£257,419.45",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,SUTTON MANOR SURGERY,KHU000038023,"£92,910.82",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000038184,"£77,361.15",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR BLOW J D & PARTNERS,KHU000038185,"-£32,987.90",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000038186,"£105,407.54",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000038188,"£93,875.36",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000038190,"£40,967.66",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000038193,"£28,345.78",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR FOULDS M & PARTNER,KHU000038194,"-£27,857.16",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000038195,"£98,620.33",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000038196,"-£122,264.15",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR JR LORENZ & PARTNERS,KHU000038197,"£660,270.09",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000038199,"£92,180.30",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DRS YU OGUNBA & AHMED,KHU000038204,"-£64,417.63",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000038205,"£143,890.43",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GP PRACTICE REVENUE - PCTF,GP FORWARD VIEW,SUTTON MANOR SURGERY,NEX003A,"£50,509.90",PCN DEVELOPMENT PLAN 19/20
Department of Health,03F,29/02/2020,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS NORTH LINCOLNSHIRE CCG,7015900789,"£26,569.00",STP SALARY RECHARGE APR TO SEP 19
Department of Health,03F,29/02/2020,Hlthcre-Foundation Trsts,COMMISSIONING SCHEMES,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400026156,"£26,000.00",1920 DIABETES TRANSFORMATION FUNDING Q3 & Q4
Department of Health,03F,29/02/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,5000046203,"-£30,412.00",CREDIT Q2 FREEZE
Department of Health,03F,29/02/2020,Cont Care- Adult 100% Fully Funded,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410040340,"£143,593.35",RECHARGE CHC  PHB NOV 19
Department of Health,03F,29/02/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000038021,"£52,376.50",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WOLSELEY MEDICAL CENTRE,KHU000038025,"£68,460.01",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS SURGERY,KHU000038027,"£122,333.88",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,EAST HULL FAMILY PRACTICE,KHU000038028,"-£47,421.96",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,EAST HULL FAMILY PRACTICE,KHU000038029,"£312,914.83",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CITY HEALTH PRACTICE LTD,KHU000038031,"£33,596.15",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-APMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,HAXBY GROUP NEWINGTON,KHU000038032,"-£36,479.66",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HAXBY GROUP NEWINGTON,KHU000038033,"£123,387.35",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR NAYAR J K,KHU000038201,"£47,437.70",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR WEIR J A D & PARTNERS,KHU000038202,"-£46,359.29",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR WEIR J A D & PARTNERS,KHU000038203,"£165,451.75",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WILBERFORCE SURGERY,KHU000038211,"£53,300.11",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BURNBRAE MEDICAL PRACTICE,KHU000038214,"£52,741.85",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EASTGATE MEDICAL GROUP,KHU000038216,"£32,595.97",CONTRACT PAYMENT MONTH 11
Department of Health,03F,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,JAMES ALEXANDER FAMILY PRACTICE,KHU000038219,"£102,737.98",CONTRACT PAYMENT MONTH 11
