Department family,Entity,Expense area,Expense Type,Supplier,Transaction number,Date,AP Amount (£),VAT registration number
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210006404,03/12/2013,"14,183,333.33",
Department of Health,NHS Hull CCG,Hlthcre-Foundation Trsts,ACUTE,LEEDS TEACHING HOSPITALS NHS TRUST,423486,06/12/2013,"120,961.29",
Department of Health,NHS Hull CCG,Hlthcre-Foundation Trsts,ACUTE,LEEDS TEACHING HOSPITALS NHS TRUST,425767,08/01/2014,"120,961.29",
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE,LEEDS TEACHING HOSPITALS NHS TRUST,923705,12/08/2013,"-85,155.66",
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,924083,18/11/2013,"-131,393.37",
Department of Health,NHS Hull CCG,Cont Care-Learning Disab(<65),CONTINUING CARE,VOYAGE 1 LTD TA VOYAGE CARE,CARE7643991,27/09/2013,"28,772.00",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,MENTAL HEALTH,JOAN PICKARD LTD,7.13E+15,02/12/2013,"51,100.81",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,MENTAL HEALTH,JOAN PICKARD LTD,71314CR,21/11/2013,"-50,125.25",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410001717,17/12/2013,"29,611.18",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410001719,17/12/2013,"34,549.44",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410001722,17/12/2013,"30,139.46",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410001723,17/12/2013,"32,903.63",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410001724,17/12/2013,"41,448.51",
Department of Health,NHS Hull CCG,Hcare Srv Rec Oth-NHS,PRIMARY CARE,NHS COMMISSIONING BOARD,7000003884,20/12/2013,"97,281.07",
Department of Health,NHS Hull CCG,Charges from CSU,OTHER,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100610,07/01/2014,"53,921.00",
Department of Health,NHS Hull CCG,Charges from CSU,PRIMARY CARE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100621,07/01/2014,"32,751.00",
Department of Health,NHS Hull CCG,Charges from CSU,CORPORATE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100632,08/01/2014,"271,707.00",
Department of Health,NHS Hull CCG,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH,HUMBER NHS FOUNDATION TRUST,1010001312,01/01/2014,"2,561,592.86",
Department of Health,NHS Hull CCG,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY HEALTH SERVICES,HUMBER NHS FOUNDATION TRUST,1010001314,01/01/2014,"424,806.65",
Department of Health,NHS Hull CCG,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY HEALTH SERVICES,HUMBER NHS FOUNDATION TRUST,1010001315,01/01/2014,"54,288.26",
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810002559,01/01/2014,"769,192.00",
Department of Health,NHS Hull CCG,Hcare Srv Rec NHS Trust-Contract Baseline,OTHER,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810002624,01/01/2014,"96,490.00",
Department of Health,NHS Hull CCG,Cont Care-Learning Disab(<65),CONTINUING CARE,VOYAGE 1 LTD TA VOYAGE CARE,CARE7662375,30/12/2013,"28,772.00",
Department of Health,NHS Hull CCG,Clinical&Medical-Voluntary Sector,COMMUNITY HEALTH SERVICES,HUMBER ALL NATIONS ALLIANCE,3121304,16/12/2013,"41,828.00",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,ACUTE,SPIRE HEALTHCARE LTD,03F010114PFHUL,01/01/2014,"395,122.00",
Department of Health,NHS Hull CCG,Clinical&Medical-Voluntary Sector,COMMUNITY HEALTH SERVICES,HOME-START (HULL),420132014,01/01/2014,"27,500.00",
Department of Health,NHS Hull CCG,Cont Care-Funded Nursing Care Allow,CONTINUING CARE,HULL CITY COUNCIL,1000185358,27/11/2013,"32,155.01",
Department of Health,NHS Hull CCG,Cont Care- Palliative Care,CONTINUING CARE,HULL CITY COUNCIL,1000185833,09/12/2013,"547,918.96",
Department of Health,NHS Hull CCG,Services From Local Authorities,COMMUNITY HEALTH SERVICES,HULL CITY COUNCIL,1000186581,06/01/2014,"123,028.54",
Department of Health,NHS Hull CCG,Clinical&Medical-Othe Public Sector,ACUTE,HULL CITY COUNCIL,1000186596,06/01/2014,"43,612.17",
Department of Health,NHS Hull CCG,Cont Care-Mental Health (65+),CONTINUING CARE,FOXGLOVE CARE LTD,1143,07/01/2014,"64,927.07",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,151,17/12/2013,"-303,642.04",
Department of Health,NHS Hull CCG,Cont Care- Palliative Care,CONTINUING CARE,EAST RIDING OF YORKSHIRE COUNCIL,33238045,29/10/2013,"130,798.18",
Department of Health,NHS Hull CCG,BUILDING CONTRACTS,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50364677,18/12/2013,"581,800.23",
Department of Health,NHS Hull CCG,BUILDING CONTRACTS,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50364790,18/12/2013,"581,800.23",
