Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (œ),Description,VAT registration number
Department of Health,03F,31/01/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010022554,"31,118.30",NCA OCTOBER 2014,
Department of Health,03F,31/01/2015,Hcare Srv Rec NHS Trust-Contract Variation,Winter Resilience,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210013237,"1,235,000.00",RESILIENCE FUNDING - TRANCHE 1,
Department of Health,03F,31/01/2015,Hcare Srv Rec NHS Trust-Contract Variation,Winter Resilience,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210013238,"2,020,000.00",RESILIENCE FUNDING TRANCHE 2,
Department of Health,03F,31/01/2015,Recharge : Received,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000012572,"80,804.03",PHARMACY LOCAL ENHANCED SERVICE Q2,
Department of Health,03F,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010004136,"463,250.32",THERAPY SERVICES BASELINE BLOCK CONTRACT 2014/15 JANUARY 2015,
Department of Health,03F,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010004137,"2,223,915.53",CHARGE FOR MENTAL HEALTH BASELINE CONTRACT JANUARY 2015,
Department of Health,03F,31/01/2015,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010004138,"27,795.83",CHARGE FOR MENTAL HEALTH 50% CQUIN JANUARY 2015,
Department of Health,03F,31/01/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010021772,"39,773.85",NCA SEPTEMBER 2014,
Department of Health,03F,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210013566,"14,094,283.00",2014/15 BLOCK CONTRACT INVOICE JANUARY 2015,
Department of Health,03F,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410006315,"80,046.00",MONTHLY INVOICE FOR 1/12TH AGREED CONTRACT VALUE,
Department of Health,03F,31/01/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400007184,"58,180.00",NCA NOVEMBER 2014,
Department of Health,03F,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007490,"789,996.72",A&E BLOCK CONTRACT JANUARY 2015,
Department of Health,03F,31/01/2015,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007563,"53,990.00",CHARGE IN RESPECT OF 111 CONTRACT JANUARY 2015,
Department of Health,03F,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007591,"118,422.33",PTS CONTRACT JANUARY 2015 EXCLUDING CQUINS,
Department of Health,03F,31/01/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS YORKSHIRE AND HUMBER CS,7312400171,"47,988.00",COMMISSIONING SUPPORT PER SLA INCOME JANUARY 2015,
Department of Health,03F,31/01/2015,Charges from CSU,FINANCE,NHS YORKSHIRE AND HUMBER CS,7312400241,"236,587.00",COMMISSIONING SUPPORT PER SLA ADMIN JANUARY 2015,
Department of Health,03F,31/01/2015,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312400257,"52,233.00",GP IT SLA PROGRAMME JANURAY 2015,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3101403,"41,828.00",BME MENTAL HEALTH CDW PROJECT 01/10/2014 - 31/12/2014,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010115PFHUL,"419,093.00",SAC 2014/15 JANUARY 2015,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F300614RECHUL,"541,083.55",PERIOD OF SERVICE QUARTER 1 2014/15,
Department of Health,03F,31/01/2015,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-STAR (HULL),420142015,"27,500.00",CONTRACT FOR SUPLLY OF SERVICES ,
Department of Health,03F,31/01/2015,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000194694,"99,200.00",YOUNG CARERS SHORT BREAKS ,
Department of Health,03F,31/01/2015,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000201838,"48,900.00",FUNDING FOR YOUNG CARERS SHORT BREAKS,
Department of Health,03F,31/01/2015,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000202236,"33,421.67",CARERS SUPPORT SERVICE CONTRACT DECEMBER 2014,
Department of Health,03F,31/01/2015,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000203122,"37,641.41",FNC RECHARGES 08/12/2014 - 04/01/2015,
Department of Health,03F,31/01/2015,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000203122,"37,641.41",FNC RECHARGES 08/12/2014 - 04/01/2015,
Department of Health,03F,31/01/2015,Clinical&Medical-Othe Public Sector,Winter Resilience,HULL CITY COUNCIL,1000203858,"400,000.00",2014/15 WINTER PRESSURES,
Department of Health,03F,31/01/2015,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000203911,"49,348.23",FNC RECHARGES 05/01/2015 - 01/02/2015,
Department of Health,03F,31/01/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000203917,"123,028.56",CARE IN THE COMMUNITY JANUARY 2015,
Department of Health,03F,31/01/2015,Clinical&Medical-Othe Public Sector,COLLABORATIVE COMMISSIONING,HULL CITY COUNCIL,1000203927,"41,897.08",COLLABORATIVE SERVICES OCTOBER - DECEMBER 2014,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,118291,"33,519.50",NHS ACTIVITY NOVEMBER 2014,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090968,"161,916.22",EQUIPMENT PURCHASES ,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090973,"77,813.81",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE DECEMBER 2014,
Department of Health,03F,31/01/2015,Clinical&Medical-Voluntary Sector,WHEELCHAIR SERVICE,NOTTINGHAM REHAB SUPPLIES,1800090974,"26,335.73",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE DECEMBER 2014,
Department of Health,03F,31/01/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,48349715,"48,552.00",Q3 2014/15 RENTAL COST,
Department of Health,03F,31/01/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48349716,"80,963.00",Q3 2014/15 SUBSIDY & VOID COST ,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410006089,"293,970.00",JANUARY CONTRACTUAL INCOME DEPRESSION AND ANXIETY SERVICE ,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006094,"46,124.00",JANUARY CONTRACTUAL INCOME COMMUNITY PAEDIATRICS,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006095,"1,945,936.00",JANUARY CONTRACTUAL INCOME ,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006096,"47,766.00",JANUARY CONTRACTUAL INCOME ,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006097,"46,608.00",JANUARY CONTRACTUAL INCOME ,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,CITY HEALTH CARE PARTNERSHIP CIC,7410006127,"28,836.00",PSYCHOLOGICAL THERAPIES TRANSITIONAL PAYMENT ,
Department of Health,03F,31/01/2015,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,803Z382,"69,075.00",UNREGISTERED PATIETNS REVENUE,
Department of Health,03F,31/01/2015,Services From Local Authorities,CARERS,HULL CITY COUNCIL,9000022278,"-99,200.00",CREDIT NOTE RE INVOICE 1000194694,
Department of Health,03F,31/01/2015,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR010,46600,CONTRACT FUNDING FOR 14/15,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,HCCGHS00206,137499.83,HEALTHSHARE NOV 2014 - MAR 2015,
Department of Health,03F,31/01/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,HCCGHS00206,137499.83,HEALTHSHARE NOV 2014 - MAR 2015,
Department of Health,03F,31/01/2015,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1001214,38184.21,CARE FEES DECEMBER 2014,
Department of Health,03F,31/01/2015,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000914,32025.41,CARE FEES 01/09/2014 - 30/09/2014,
