Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,PRIMARY CARE DEVELOPMENT,DR WEIR J A D & PARTNERS,2016171,"£26,250.03",CLINICAL PHARMACIST IN GP SCHEME APRIL 16,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1045803,"£29,501.30",PATHOLOGY FEE NOVEMBER 2016,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410017945,"£69,347.95",PHB OCT 16,
Department of Health,03F,31/01/2017,Recharge : Received,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000021368,"£93,563.76",PHARMACY RECHARGE,
Department of Health,03F,31/01/2017,Seconded-Basic Sal-Staff fm oth org,CEO/ BOARD OFFICE,NHS ENGLAND,7000022001,"£28,548.41",SALARY RECHARGE OCT TO DEC 2016,
Department of Health,03F,31/01/2017,Hlthcre-Foundation Trsts,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010009418,"£37,448.00",PAEDIATRIC RECHARGE OVERHEAD 16/17,
Department of Health,03F,31/01/2017,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010009869,"£76,617.56",RECHARGE 16/17 HIGHLANDS COST,
Department of Health,03F,31/01/2017,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010009896,"£2,784,701.54",JANUARY BLOCK CONTRACT 2017,
Department of Health,03F,31/01/2017,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010044570,"£35,143.82",NCA NOV 16,
Department of Health,03F,31/01/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410059750,"£53,062.17",AP10 1/12TH OF 16/17 CONTRACT,
Department of Health,03F,31/01/2017,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017110,"£824,459.00",JANUARY 2017 BLOCK CONTRACT,
Department of Health,03F,31/01/2017,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017164,"£58,757.45",NHS 111 CONTRACT JANUARY 2017,
Department of Health,03F,31/01/2017,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017193,"£117,810.00",PTS CONTRACT EXCLUDING CQUINS JANUARY 2017,
Department of Health,03F,31/01/2017,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48510636,"£31,991.25",MARMADUKE HC RENTAL CHARGE QTR 4,
Department of Health,03F,31/01/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0003370,"£769,000.00",Q1 FREEZE,
Department of Health,03F,31/01/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0004884,"£14,383,333.00",JANUARY 2017 BLOCK,
Department of Health,03F,31/01/2017,Other professional fees,COMMISSIONING SCHEMES,HULL CITYCARE,4148,"£338,626.80",HULL INTEGRATED CARE CENTRE - LIFTCO DEVELOPMENT FEE,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1055097,"£29,501.30",NON PTS SERVICE/PATHOLOGY FEE DECEMBER 2016,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161710,"£654,604.00",ESTIMATED ANNUAL CONTRACT JANUARY 2017,
