Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/01/2019,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000032875,"-£48,318.42",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000032876,"£157,994.30",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000032878,"£88,895.80",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000032880,"£43,093.83",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000032881,"£56,033.98",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000032888,"£69,975.82",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000033054,"£61,605.95",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000033058,"£107,062.95",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000033060,"£87,585.58",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000033064,"£41,477.67",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000033066,"£27,131.69",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000033068,"£98,613.58",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000033071,"£72,324.08",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MALCZEWSKI G S,KHU000033072,"£27,681.28",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAWCLIFFE V A & PARTNERS,KHU000033078,"£101,966.94",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000033082,"£97,962.22",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,FAITH HOUSE SURGERY,KHU000033084,"£72,340.97",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000032882,"£281,213.93",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000032884,"£291,357.73",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000032886,"£49,725.58",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SPRINGS MEDICAL CENTRE CONSORTIUM,KHU000033089,"£136,018.96",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60090877,"£251,259.16",DEC 18 BOOKABLE SPACE
Department of Health,03F,31/01/2019,Clinical&Medical-Othe Public Sector,REABLEMENT,HULL CITY COUNCIL,1000267206,"£258,383.75",2018/19 BETTER CARE FUND
Department of Health,03F,31/01/2019,Computer Software/License,COMMISSIONING SCHEMES,FIRST DATABANK EUROPE LTD,8124,"£118,203.23",OPTIMISERX ANNUAL END USER FEE - YEAR ONE
Department of Health,03F,31/01/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410032665,"£324,480.00",JANUARY 19 DEPRESSION & ANXIETY SERVICE
Department of Health,03F,31/01/2019,Clinical&Medical-Independent Sector,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,CITY HEALTH CARE PARTNERSHIP CIC,7410032670,"£186,105.67",JAN 19 OUT OF SCOPE CONTRACT
Department of Health,03F,31/01/2019,Clinical&Medical-Independent Sector - Contract Baseline,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410032677,"£1,877,826.08",JAN 19 ICS 2018/19
Department of Health,03F,31/01/2019,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410032682,"£79,913.91",JAN 19 PAUL FOR BRAIN RECOVERY
Department of Health,03F,31/01/2019,C&M-Independent Sector - CQUIN,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410032683,"£206,106.90",DEC 18 -JAN 19 COMMUNITY FRAILITY PATHWAY MAY 18 TO MARCH 19
Department of Health,03F,31/01/2019,Clinical&Medical-Independent Sector - Contract Baseline,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410032684,"£204,210.33",JAN 19 COMMUNITY PAEDIATRICS
Department of Health,03F,31/01/2019,Clinical&Medical-Independent Sector - Contract Baseline,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410032686,"£54,275.08",JAN 19 SEXUAL HEALTH SERVICE   
Department of Health,03F,31/01/2019,Clinical&Medical-Independent Sector - Contract Baseline,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410032688,"£326,600.33",JAN 19 URGENT CARE 18/19
Department of Health,03F,31/01/2019,Cont Care- Adult 100% Fully Funded,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410032949,"£99,942.47",RECHARGE CHC PHB NOV 18
Department of Health,03F,31/01/2019,Clinical&Medical-Independent Sector,GP FORWARD VIEW,CITY HEALTH CARE PARTNERSHIP CIC,7410033113,"£323,333.33",EXTENDED ACCESS FUNDING OCT 18 TO MARCH 19 DEC 18 TO JAN 19
Department of Health,03F,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WOLSELEY MEDICAL CENTRE,KHU000032890,"£102,367.36",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,KHU000032892,"£119,949.82",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST HULL FAMILY PRACTICE,KHU000032896,"£257,964.30",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CITY HEALTH PRACTICE LTD,KHU000032898,"£33,841.17",CONTRACT PAYMENT MONTH 10
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000033056,"£128,997.56",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHOWDHURY G M & PARTNER,KHU000033062,"£37,397.73",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR NAYAR J K,KHU000033074,"£57,304.81",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR WEIR J A D & PARTNERS,KHU000033080,"£160,431.44",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WILBERFORCE SURGERY,KHU000033093,"£55,718.02",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BURNBRAE MEDICAL PRACTICE,KHU000033096,"£45,060.83",LOCAL ENHANCED SERVICES
Department of Health,03F,31/01/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EASTGATE MEDICAL GROUP,KHU000033098,"£33,748.28",LOCAL ENHANCED SERVICES
