Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,114948,"43,249.20",
Department of Health,NHS Hull CCG,31/07/2013,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000176065,"123,028.56",
Department of Health,NHS Hull CCG,31/07/2013,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000177396,"123,028.56",
Department of Health,NHS Hull CCG,31/07/2013,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000177562,"36,430.92",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,21314,"61,707.30",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010613PFHUL,"395,122.00",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Serv Recd-CCGs,COMMUNITY SERVICES,NHS GREATER HUDDERSFIELD CCG,7015100016,"140,065.92",
Department of Health,NHS Hull CCG,31/07/2013,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000176765,"457,925.25",
Department of Health,NHS Hull CCG,31/07/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,957,"64,927.07",
Department of Health,NHS Hull CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010000044,"2,986,401.00",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000036,"1,943,275.00",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3031302,"41,828.00",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CAMBIAN HEALTHCARE LTD,IN125743,"42,090.00",
Department of Health,NHS Hull CCG,31/07/2013,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000177463,"33,421.67",
Department of Health,NHS Hull CCG,31/07/2013,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000177464,"33,421.67",
Department of Health,NHS Hull CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,408207,"120,961.29",
Department of Health,NHS Hull CCG,31/07/2013,Services From Local Authorities,REABLEMENT,HULL CITY COUNCIL,1000177937,"1,769,000.00",
Department of Health,NHS Hull CCG,31/07/2013,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000178152,"33,421.67",
Department of Health,NHS Hull CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210003561,"14,007,273.00",
Department of Health,NHS Hull CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210003561,"176,060.33",
Department of Health,NHS Hull CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810000372,"773,744.00",
Department of Health,NHS Hull CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810000437,"96,490.00",
Department of Health,NHS Hull CCG,31/07/2013,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000713,"44,152.00",
Department of Health,NHS Hull CCG,31/07/2013,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100140,"367,040.00",
Department of Health,NHS Hull CCG,31/07/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,VOYAGE LTD,CARE7625816,"36,347.07",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,90006700,"48,550.00",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800088506,"69,767.26",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800088504,"131,707.81",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,WARREN CENTRE,830,"37,500.00",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,100036-22-JUL-2013,"1,943,275.00",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010713PFHUL,"395,122.00",
Department of Health,NHS Hull CCG,31/07/2013,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000178785,"33,421.67",
Department of Health,NHS Hull CCG,31/07/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-START (HULL),12013,"27,500.00",
Department of Health,NHS Hull CCG,31/07/2013,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000178126,"453,336.38",
