Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (œ),Description,VAT registration number
Department of Health,03F,31/07/2014,Hcare Srv Rec NHS Trust-Non Contract,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005314,"49,209.24",NON PATIENT TRANSPORT APRIL - JUNE 14,
Department of Health,03F,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,437650,"79,149.00",MONTHLY INVOICE 1/12TH JULY 2014,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,VIRGIN CARE EAST RIDING LLP,803Z341,"69,075.00",HULL CITY EA JUNE 14,
Department of Health,03F,31/07/2014,Charges from CSU,COMMUNICATIONS & PR,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101618,"29,093.00",CCG INCOME SLA,
Department of Health,03F,31/07/2014,Computer Network Costs,PRIMARY CARE IT,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101720,"-49,395.60",CREDIT ON ACCOUNT INV STR0000041508,
Department of Health,03F,31/07/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101781,"47,988.08",TRUST INCOME SLA,
Department of Health,03F,31/07/2014,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101782,"236,587.00",CCG INCOME SLA,
Department of Health,03F,31/07/2014,Charges from CSU,PROGRAMME PROJECTS,NHS NORTH YORKSHIRE AND HUMBER CSU,7310101830,"52,233.00",CCG INCOME SLA JULY 14,
Department of Health,03F,31/07/2014,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HUMBER NHS FOUNDATION TRUST,1010002335,"33,991.99",RECHARGE OF AGENCY STAFF ,
Department of Health,03F,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010002733,"463,250.32",BLOCK 14/15 JULY 14,
Department of Health,03F,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002735,"2,438,191.20",MENTAL HEALTH BASELINE CONTRACT BLOCK JULY 14,
Department of Health,03F,31/07/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010002736,"30,470.83",MENTAL HEALH 50% CQUIN BLOCK JULY 14,
Department of Health,03F,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210010251,"14,094,283.00",14/15 BLOCK CONTRACT JULY 14,
Department of Health,03F,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005108,"789,996.72",A&E BLOCK JULY 14,
Department of Health,03F,31/07/2014,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005181,"53,990.00",111 INCOME JULY 14,
Department of Health,03F,31/07/2014,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810005209,"118,422.33",CHARGE IN RESPECT OF PTS CONTRACT JULY 14,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010714PFHUL,"419,093.00","PATIENT ACTIVITY, CQUIN JULY 14",
Department of Health,03F,31/07/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,WARREN CENTRE,851,"37,500.00",SALARIES & ACTIVITY 1/1/14 - 31/3/14,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,HULL CITY COUNCIL,1000192036,"42,406.20",RECHARGE IN RESPECT OF THERAPY,
Department of Health,03F,31/07/2014,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000193479,"27,000.00",FOUR SEASONS FUNDING 14/15,
Department of Health,03F,31/07/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000193650,"34,079.89",FNC RECHARGES 28/4/14 - 25/5/14,
Department of Health,03F,31/07/2014,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HULL CITY COUNCIL,1000194050,"25,000.00",RECHARGE IN RESPECT OF AGE CONCERN FALLS PROJECT 14/15,
Department of Health,03F,31/07/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000194603,"39,067.40",FNC RECHARGES 26/5/14 - 22/6/14,
Department of Health,03F,31/07/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000194777,"608,673.85",CONTINUING HEALTH RECHARGES JUNE 14,
Department of Health,03F,31/07/2014,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000195439,"123,028.56",CARE IN THE COMMUNITY JULY 14,
Department of Health,03F,31/07/2014,Services From Local Authorities,CARERS,HULL CITY COUNCIL,1000195516,"33,421.67",CARERS SUPPORT JULY 14,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,117038,"43,141.86",NHS ACTIVITY MAY 2014,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,117252,"37,837.00",NHS ACTIVITY MONTH ENDED 30.6.14,
Department of Health,03F,31/07/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1292,"80,176.54",VARIOUS JULY 14,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,WHEELCHAIR SERVICE,NOTTINGHAM REHAB SUPPLIES,1800089964,"43,496.90",EQUIPMENT COST MAY 14,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,209HC03,"34,617.60",INTERPRETING SERVICES,
Department of Health,03F,31/07/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,34199965,"91,558.31",CONTINUING HEALTH RECHARGES 7/4/14 - 4/5/14,
Department of Health,03F,31/07/2014,Hcare Srv Rec Oth-NHS-Non Contract,OUT OF HOURS,CITY HEALTH CARE PARTNERSHIP CIC,537,"-65,436.00",CREDIT AGAINST 7410003700,
Department of Health,03F,31/07/2014,Hcare Srv Rec Oth-NHS-Non Contract,OUT OF HOURS,CITY HEALTH CARE PARTNERSHIP CIC,7410003700,"65,436.00",BRANSHOLME MIU APRIL 14,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410003940,"2,051,131.00",JULY CONRACTUAL INCOME,
Department of Health,03F,31/07/2014,Clinical&Medical-Voluntary Sector,CHC CHILDREN,ABL HEALTH LTD,BUMPS004,"26,376.28","BIRTH PREPERATION JULY, AUG, SEPT 2014",
Department of Health,03F,31/07/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR010,"46,600.00",CONTRACT FUNDING 14/15,
Department of Health,03F,31/07/2014,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410003038,"484,060.84",RECHARGE OF CHC PATIENT EXPENDITURE,
Department of Health,03F,31/07/2014,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410003543,"43,292.77",RECHARGE OF CHC PATIENT EXPENDITURE,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090044,"289,015.17",EQUIPMENT PURCHASES JUNE 2014,
Department of Health,03F,31/07/2014,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,PRIVATE MEDICARE LTD,SNCB07141,"28,914.28",STROKE NURSING BEDS 1/7/14 - 30/9/14,
