Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/07/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000035377,"£93,926.10",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000035379,"£43,770.52",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000035381,"£52,519.23",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000035383,"£281,572.93",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000035385,"£235,245.90",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,SUTTON MANOR SURGERY,KHU000035389,"£125,768.02",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000035584,"£103,922.23",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000035586,"£84,582.01",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000035588,"£89,017.09",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000035590,"£40,130.10",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000035594,"£81,471.34",CONTRACT PAYMENT MONTH 04
Department of Health,03F,31/07/2019,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000035595,"-£44,468.02",CONTRACT PAYMENT MONTH 04
