Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/06/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CALVERT PRACTICE,KHU000024473,"£32,775.39",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KUMAR-CHOUDHARY,KHU000024475,"£41,259.37",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000024477,"£158,480.20",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR M SHAIKH & PARTNER,KHU000024478,"-£43,909.13",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR M SHAIKH & PARTNER,KHU000024479,"£57,236.36",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000024481,"£96,353.39",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000024483,"£33,730.23",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000024485,"£51,973.19",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000024486,"-£67,337.26",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000024487,"£100,823.71",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000024488,"-£25,344.70",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000024489,"£214,320.25",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000024490,"-£29,823.93",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000024491,"£48,667.54",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,QUAYS MEDICAL CENTRE,KHU000024493,"£57,074.35",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,RIVERSIDE MEDICAL CENTRE KINGSTON HULL,KHU000024494,"-£27,520.12",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,RIVERSIDE MEDICAL CENTRE KINGSTON HULL,KHU000024495,"£46,028.89",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,STORY STREET PRACTICE & WALK IN CENTRE,KHU000024497,"£106,244.08",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000024499,"£77,514.85",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000024653,"£84,181.10",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DIADEM MEDICAL PRACTICE,KHU000024657,"£184,408.53",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000024659,"£147,888.16",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000024661,"£128,878.90",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR CHOWDHURY G M & PARTNER,KHU000024663,"£41,099.96",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000024665,"£54,581.94",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR GOPAL K V,KHU000024667,"£29,304.97",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000024669,"£26,798.30",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000024671,"£119,927.35",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JR LORENZ & PARTNERS,KHU000024673,"£79,075.72",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000024675,"£95,188.83",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MALCZEWSKI G S,KHU000024679,"£34,962.64",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MJ VARMA & PARTNERS,KHU000024682,"£35,867.03",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR MUSIL J & PARTNER,KHU000024684,"£73,584.46",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000024685,"£40,348.81",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAWCLIFFE V A & PARTNERS,KHU000024687,"£140,461.05",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000024693,"£125,015.41",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FAITH HOUSE SURGERY,KHU000024696,"£104,413.30",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SPRINGS MEDICAL CENTRE CONSORTIUM,KHU000024703,"£197,530.67",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SUTTON MANOR SURGERY,KHU000024706,"£42,838.21",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS GROUP PRACTICE HESSLE ROAD,KHU000024719,"-£31,642.57",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ST ANDREWS GROUP PRACTICE HESSLE ROAD,KHU000024720,"£69,138.60",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,39321564,"£35,848.21",FNC PERIODS 11 & 12,
Department of Health,03F,30/06/2017,Charges from CSU,NCAS/OATS,NHS NORTH OF ENGLAND CSU,7310008720,"£41,453.67",MEDICINE OPTIMISATION SERVICE JUNE 2017,
Department of Health,03F,30/06/2017,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010011312,"£2,800,476.89",JUNE BLOCK,
Department of Health,03F,30/06/2017,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010047346,"£25,705.85",NCA MARCH ESTIMATE 2017,
Department of Health,03F,30/06/2017,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010049731,"£33,570.63",NCA APRIL 17 FLEX,
Department of Health,03F,30/06/2017,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410065868,"£29,880.63",YTD ESTIMATE,
Department of Health,03F,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410071017,"£75,862.36",JUNE BLOCK,
Department of Health,03F,30/06/2017,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1490009208,"-£29,880.63",CREDIT FOR Q4 ESTIMATE,
Department of Health,03F,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810018975,"£844,473.00",JUNE BLOCK,
Department of Health,03F,30/06/2017,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810019028,"£58,757.00",NHS 111 JUNE 2017,
Department of Health,03F,30/06/2017,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810019117,"£42,495.00",NHS 111 YEAR END REC,
Department of Health,03F,30/06/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0008181,"£15,248,872.00",JUNE BLOCK 17,
Department of Health,03F,30/06/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST HULL FAMILY PRACTICE,KHU000024507,"£176,988.80",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR NAYAR J K,KHU000024681,"£52,691.14",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR WEIR J A D & PARTNERS,KHU000024689,"£199,082.87",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,NEW GREEN SURGERY,KHU000024691,"£47,542.67",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WILBERFORCE SURGERY,KHU000024708,"£56,335.19",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HOLDERNESS HEALTH OPEN DOOR SURGERY,KHU000024711,"£30,108.61",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS DES TPP QRISK,PRC DELEGATED CO-COMMISSIONING,SOUTHCOATES MEDICAL CENTRE,KHU000024718,"£39,971.61",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,JAMES ALEXANDER FAMILY PRACTICE,KHU000024722,"£122,165.45",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EAST HULL FAMILY PRACTICE,KHU000024724,"£54,570.77",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,PrePayments 1 yr,BALANCE SHEET,ST ANDREWS GROUP PRACTICE HESSLE ROAD,PPNOINV5188,"£192,392.99",LOCAL ENHANCED SERVICES,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1102872,"£29,324.29",NON PTS SERVICE,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF171803,"£704,028.00",ANNUAL CONTRACT JUNE 2017,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161712,"£327,823.31",SAC ACTIVITY MARCH 17,
Department of Health,03F,30/06/2017,Computer Network Costs,PRIMARY CARE IT,BT GLOBAL SERVICES,790212139,"£38,289.16",APRIL CHARGES,
Department of Health,03F,30/06/2017,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000247456,"£46,658.48",FNC RECHARGE APRIL 2017,
Department of Health,03F,30/06/2017,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000247690,"£55,765.79",FNC RECHARGE 24/04 - 21/05/2017,
Department of Health,03F,30/06/2017,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000247871,"£27,000.00",FOUR SEASONS FUNDING 2017/18,
Department of Health,03F,30/06/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000248170,"£331,813.56",CONTINUING HEALTH RECHARGES APRIL 2017,
Department of Health,03F,30/06/2017,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000248214,"£110,137.77",CARE IN THE COMMUNITY RECHARGE JUNE 2017,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,HULL IVF,123741,"£53,579.48",NHS ACTIVITY MAY,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800096423,"£238,947.17",EQUIPMENT PURCHASES 29.04.17- 26.05.17,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,THAMES AMBULANCE SERVICE LTD,19260,"£58,333.33",JUNE BLOCK,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,THAMES AMBULANCE SERVICE LTD,19261,"£26,501.08",TARIFF ACTIVITY JUNE 2017,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,2021,"-£36,403.68",CREDIT RE TRUE UP COSTS BRANSHOLME HC,
Department of Health,03F,30/06/2017,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2497,"£37,692.00",CHC FEES JUNE 2017,
Department of Health,03F,30/06/2017,Other Gen Supplies & Srv,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,317,"£34,509.71",INTERPRETING SERVICES ,
Department of Health,03F,30/06/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,38734547,"£76,298.00",CHC RECHARGE 6 AND 7 2016/17,
Department of Health,03F,30/06/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410020032,"£51,650.82",NIGHT SITS APRIL 2017,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020072,"£45,654.90",BRANSHOLME HC SOLE SERVICE CHARGE JAN 17,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410020217,"£292,740.96",JUNE INCOME DEPRESSION,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020221,"£1,626,625.00",JUNE 17 INTEGRATED COMMUNITY SERVICES ,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020223,"£204,006.33",JUNE 17 COMMUNITY PAEDIATRICS OUT OF SCOPE,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020224,"£300,300.00",JUNE 17 URGENT CARE ,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020226,"£54,220.83",JUNE 17 SEXUAL HEALTH ,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020228,"£183,108.58",JUNE 17 OUT OF SCOPE ,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410020260,"£369,119.00",DASH Q4 REC,
Department of Health,03F,30/06/2017,Cont Care- Adult 100% Fully Funded,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410020262,"£36,229.40",CHC FUNDED PERSONAL HEALTH BUDGET APRIL 2017,
Department of Health,03F,30/06/2017,Cont Care- Adult 100% Fully Funded,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410020292,"£50,664.05",CHC PERSONAL HEALTH BUDGET APRIL 2017,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020311,"£155,013.60",SUNSHINE HOUSE ESTATE COSTS COMMUNITY PAEDIATRICS,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020312,"£37,343.00",CARE HOMES MEDS MANAGEMENT APR-JUNE 2017,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020319,"£56,610.83",BRANSHOLME HC OCCUPANCY CHARGE NOV DEC 16,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020320,"£45,295.18",BRANSHOLME HC RENT MARCH 17,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020321,"£45,654.90",BRANSHOLME HC RENT FEB 17,
Department of Health,03F,30/06/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410020324,"£101,743.19",BRANSHOLME HC RENT AND SERVICE CHARGE NOV DEC 16,
Department of Health,03F,30/06/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,ALEXANDAR COURT CARE CENTRE,878MAN001,"£62,826.64",CHC VARIOUS CLIENTS 11/04/17 TO 30/06/2017,
Department of Health,03F,30/06/2017,LPF Management Fees,FINANCE,KIER BUSINESS SERVICES LTD,90228240,"£112,336.80",PROFESSIONAL SERVICES JUNE 2017,
