Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,30/06/2020,C&M-GP PRACTICE REVENUE - PCTF,GP FORWARD VIEW,AVENUES MEDICAL CENTRE,4006,"£37,515.43",ORGANISATIONAL DEVELOPMENT PLAN FUNDING
Department of Health,03F,30/06/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000039500,"-£27,377.62",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000039501,"£139,707.39",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000039503,"£63,517.68",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000039505,"£66,764.35",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000039507,"£296,269.41",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-APMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000039508,"-£99,916.26",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000039509,"£160,227.86",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000039672,"£117,099.19",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR BLOW J D & PARTNERS,KHU000039673,"-£103,296.36",CONTRACT PAYMENT MONTH 3
Department of Health,03F,30/06/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR BLOW J D & PARTNERS,KHU000039674,"£210,788.58",CONTRACT PAYMENT MONTH 3
