Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (œ),Description,VAT registration number
Department of Health,03F,31/03/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010023524,31593.33,NCA NOVEMBER 2014,
Department of Health,03F,31/03/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010024322,31610.25,NCA DECEMBER 2014,
Department of Health,03F,31/03/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9544,-33104.38,A&E BLOCK CONTRACT CREDIT RE UNDERTRADE Q1-Q3 14/15,
Department of Health,03F,31/03/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,4 SEASONS (HULL) LTD,12449,27800,SLA PAYMENT,
Department of Health,03F,31/03/2015,Recharge : Received,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000014070,105020.43,MINOR AILMENTS PHARMACY LOCAL ENHANCED SERVICE Q3 RECHARGE,
Department of Health,03F,31/03/2015,Recharge : Received,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000014111,99193.98,MINOR AILMENTS PHARMACY LOCAL ENHANCED SERVICE Q4 ESTIMATE ON ACCOUNT RECHARGE,
Department of Health,03F,31/03/2015,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010004628,57607.5,MENTAL HEALTH BLOCK CONTRACT 2014/15 Q2 CQUIN ,
Department of Health,03F,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010004635,463250.32,THERAPY SERVICES BASELINE CONTRACT MARCH 2015,
Department of Health,03F,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010004637,2223915.53,MENTAL HEALTH BASELINE CONTRACT BLOCK CONTRACT MARCH 2015,
Department of Health,03F,31/03/2015,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010004638,27795.83,MENTAL HEALTH 50% CQUIN BLOCK CONTRACT 2014/15 MARCH 2015,
Department of Health,03F,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210014687,14094283,2014/15 BLOCK CONTRACT MARCH 2015,
Department of Health,03F,31/03/2015,Hcare Srv Rec NHS Trust-Contract Variation,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210015266,768600,AGREED 14/15 TEAR END OVER TRADE ,
Department of Health,03F,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410010427,80046,MONTHLY INVOICE MARCH 2015,
Department of Health,03F,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810008012,53253,A&E BLOCK CONTRACT,
Department of Health,03F,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810008232,789996.72,A&E BLOCK CONTRACT INVOICE MARCH 2015 EXCLUDING CQUINS,
