Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/03/2017,Clinical&Medical-Othe Public Sector,REABLEMENT,HULL CITY COUNCIL,1000236080,"£432,306.00",2016-17 BETTER CARE FUND,
Department of Health,03F,31/03/2017,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000241783,"£308,853.87",CONTINUING HEALTH RECHARGES FOR DECEMBER 2016,
Department of Health,03F,31/03/2017,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000241809,"£289,140.67",CONTINUING HEALTH RECHARGES JAN 2017,
Department of Health,03F,31/03/2017,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310007707,"£30,796.00",LOT 2A MEDICINE OPTIMISATION SERVICE FEB 2017,
Department of Health,03F,31/03/2017,Recharge : Received,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000022465,"£77,310.90",Q2 MINOR AILMENTS,
Department of Health,03F,31/03/2017,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010010450,"£2,784,701.54",MARCH 17 BLOCK,
Department of Health,03F,31/03/2017,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010010548,"£25,750.00",PROVISION OF CYP IAPT STAFF SUPPORT FUNDING FEB 2017,
Department of Health,03F,31/03/2017,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010010594,"£25,750.00",PROVISION OF CYP IAPT STAFF SUPPORT FUNDING DECEMBER 2016,
Department of Health,03F,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410063781,"£53,062.19",AP12 BLOCK 2017,
Department of Health,03F,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017774,"£824,459.00",MARCH BLOCK 2017,
Department of Health,03F,31/03/2017,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017827,"£58,757.45",NHS111 MARCH 2017,
Department of Health,03F,31/03/2017,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017856,"£117,810.00",PTS CHARGES MARCH 2017,
Department of Health,03F,31/03/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810017922,"£31,122.00",NHS111 Q3 2016/17,
Department of Health,03F,31/03/2017,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0006098,"£14,383,333.00",MONTHLY CONTRACT INVOICE MARCH 2017,
Department of Health,03F,31/03/2017,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0006193,"£500,000.00",ADDITIONAL AMOUNT FOR YEAR END OVER TRADE,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1072239,"£29,501.30",NON PTS SERVICE,
Department of Health,03F,31/03/2017,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60029105,"£33,269.08",VOID COSTS MARCH 16/17 VARIOUS HEALTH CENTRES,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULCQ1617M01M06,"£39,850.81",CQUIN REC APRIL TO SEPT 2016,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULCQ1617M01M06CR,"-£39,850.81",CREDIT CQUIN 03FHULCQ1617M01M06,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULCQ1617M01M09,"£65,074.90",CQUIN REC APRIL TO DEC 2016,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161712,"£654,604.00",ESTIMATED ANNUAL CONTRACT MARCH 2017,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161709,"£59,555.26",SAC ACTIVITIES DEC 16/17,
Department of Health,03F,31/03/2017,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000242598,"£110,137.77",CARE IN THE COMMUNITY RECHARGE FEB 2017,
Department of Health,03F,31/03/2017,Public Relations Expenses,PATIENT AND PUBLIC INVOLVEMENT,HULL CITY COUNCIL,1000243340,"£30,000.00",HULL PEOPLES PANEL DURING 2016/17 FINANCIAL YEAR,
Department of Health,03F,31/03/2017,Cont Care-Mental Health (<65),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000243405,"£269,874.22",CONTINUING HEALTH RECHARGES FOR FEB 17,
Department of Health,03F,31/03/2017,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000243533,"£110,137.77",CARE IN THE COMMUNITY RECHARGE MARCH 2017,
Department of Health,03F,31/03/2017,Other professional fees,NON RECURRENT PROGRAMMES,PRICEWATERHOUSECOOPERS LLP,1354687494,"£154,520.40",PROFF SERVICES ,
Department of Health,03F,31/03/2017,Other professional fees,COMMISSIONING SCHEMES,COMMUNITY HEALTH PARTNERSHIPS LTD,14169,"£298,151.74",HULL ICC LIFT PROJECT ,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800095118,"£287,681.45",EQUIPMENT PURCHASES AND ACTIVITY FEB 2017,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,PRIMARY CARE DEVELOPMENT,CITY HEALTH CARE PARTNERSHIP CIC,1910,"-£230,000.00",RE DIGITAL TRANSFORMATION FUND INVOICE 7410017664,
Department of Health,03F,31/03/2017,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2303,"£35,179.20",CHC ID 5825GN JAN 2017,
Department of Health,03F,31/03/2017,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2347,"£38,948.40",CHC VARIOUS CLIENTS MARCH 2017,
Department of Health,03F,31/03/2017,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,BLUE MOUNTAIN HOMES LTD,2738,"£25,774.28",CHC RESPITE SHORT TERM CARE YOUNG PERSON DEC 2016,
Department of Health,03F,31/03/2017,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,301041282,"£69,834.83",HULL CITY EA INVOICE MARCH 2017,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410018509,"£148,993.88",CHC RECHARGE FUNDED PERSONAL HEALTH BUDGET NOV & DEC 2016,
Department of Health,03F,31/03/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410018692,"£45,891.00",JANUARY 2017 NIGHT SITS,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410018843,"£79,945.18",RECHARGE CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE JAN 2017,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410018844,"£36,229.40",RECHARGE FOR EAST RIDING CHC FUNDED PERSONAL HEALTH BUDGET JAN 2017,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410018846,"£62,500.00",FEB & MARCH 17 STEP UP/STEP DOWN BEDS,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410018847,"£200,000.00",FEB & MARCH REABLEMENT,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410018848,"£183,333.33",FEBRUARY & MARCH 2017 HIGHFIELDS RUNNING COSTS,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410018849,"£292,448.52",MARCH 17 INCOME DEPRESSION & ANXIETY SERVICE,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410018855,"£300,000.00",MARCH 2017 URGENT CARE,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410018857,"£1,625,000.00",MARCH 2017 INTEGRATED COMMUNITY SERVICES,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410018858,"£114,200.00",MARCH 2017 URGENT CARE,
Department of Health,03F,31/03/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410018861,"£54,166.65",MARCH 2017 SEXUAL HEALTH SERVICES,
