Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/03/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000038362,"£95,170.76",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000038364,"£44,606.43",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000038365,"-£51,591.47",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000038366,"£92,186.75",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000038367,"-£118,934.24",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000038368,"£545,183.08",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000038369,"-£170,063.91",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000038370,"£361,837.49",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,SUTTON MANOR SURGERY,KHU000038374,"£124,736.39",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000038544,"£80,178.89",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR BLOW J D & PARTNERS,KHU000038545,"-£34,318.96",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000038546,"£107,533.39",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000038548,"£88,428.36",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000038550,"£43,292.12",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000038554,"£29,201.46",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR FOULDS M & PARTNER,KHU000038556,"£105,544.43",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000038557,"-£135,581.35",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JR LORENZ & PARTNERS,KHU000038558,"£671,801.09",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000038560,"£68,620.84",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000038567,"£101,182.17",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,Professional Fees,PRIMARY CARE IT,N3I,1,"£529,397.35",PRIMARY CARE IT MOBILISATION
Department of Health,03F,31/03/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,4087,"£38,948.40",CARE FEES JAN 20
Department of Health,03F,31/03/2020,C&M-GP PRACTICE REVENUE - PCTF,GP FORWARD VIEW,MODALITY PARTNERSHIP,HULPCNOD,"£59,078.39",PCN DEVELOPMENT PLAN FUNDING
Department of Health,03F,31/03/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000038371,"-£35,550.85",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000038372,"£87,460.84",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WOLSELEY MEDICAL CENTRE,KHU000038376,"£107,435.91",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS SURGERY,KHU000038378,"£120,531.67",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,EAST HULL FAMILY PRACTICE,KHU000038379,"-£229,469.16",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,EAST HULL FAMILY PRACTICE,KHU000038380,"£528,318.97",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CITY HEALTH PRACTICE LTD,KHU000038382,"£43,476.89",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HAXBY GROUP NEWINGTON,KHU000038383,"-£105,634.92",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HAXBY GROUP NEWINGTON,KHU000038384,"£187,792.73",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR NAYAR J K,KHU000038562,"£45,622.21",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR WEIR J A D & PARTNERS,KHU000038564,"-£48,442.99",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR WEIR J A D & PARTNERS,KHU000038565,"£157,876.06",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WILBERFORCE SURGERY,KHU000038575,"£54,468.47",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BURNBRAE MEDICAL PRACTICE,KHU000038578,"£44,001.36",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EASTGATE MEDICAL GROUP,KHU000038580,"£31,837.30",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,JAMES ALEXANDER FAMILY PRACTICE,KHU000038583,"£100,975.68",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,GOODHEART SURGERY,KHU000038587,"£45,600.18",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,LAURBEL SURGERY,KHU000038589,"£33,235.95",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CITY HEALTH PRACTICE LTD,KHU000038592,"£61,902.26",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DELTA HEALTHCARE,KHU000038594,"£31,833.77",CONTRACT PAYMENT MONTH 12
Department of Health,03F,31/03/2020,Hcare Srv Rec NHS CCG-Contract Baseline,CONTRACT MANAGEMENT,NHS GREATER HUDDERSFIELD CCG,7015101912,"£29,349.00",NHS 111 ADMIN COSTS
Department of Health,03F,31/03/2020,Charges from CCG,PRIMARY CARE IT,NHS NORTH EAST LINCOLNSHIRE CCG,7015701399,"£84,000.00",PRIMARY CARE DIGITAL FIRST FUNDING
Department of Health,03F,31/03/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410149639,"£64,984.00",AP 12 BLOCK CONTRACT INVOICE 19/20
