Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,878,"46,985.16",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,878,"15,847.50",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,882,"48,551.32",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,882,"16,375.75",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000413,"1,709.11",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000413,"38,455.02",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,VOYAGE LTD,CARE7606097,"27,843.87",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Mental Health (<65),CHC ADULT FULLY FUNDED,VOYAGE LTD,CARE7606097,"7,330.71",
Department of Health,NHS Hull CCG,31/05/2013,Hcare Srv Rec Oth-NHS-Contract Baseline,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,90006698,"1,940,250.00",
Department of Health,NHS Hull CCG,31/05/2013,Hlthcre-Foundation Trsts,ACUTE CHILDRENS SERVICES,LEEDS TEACHING HOSPITALS NHS TRUST,405282,"120,961.29",
Department of Health,NHS Hull CCG,31/05/2013,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,2018928,"2,986,401.00",
Department of Health,NHS Hull CCG,31/05/2013,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100020,"367,040.00",
Department of Health,NHS Hull CCG,31/05/2013,Hcare Srv Rec NHS Trust,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,348636,"96,490.00",
Department of Health,NHS Hull CCG,31/05/2013,Hcare Srv Rec NHS Trust,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,348573,"773,744.00",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,VOYAGE LTD,CARE7613644,"32,671.40",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,VOYAGE LTD,CARE7613644,"3,675.67",
Department of Health,NHS Hull CCG,31/05/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3031301,"45,828.00",
Department of Health,NHS Hull CCG,31/05/2013,Hcare Srv Rec NHS Trust,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210002585,"14,183,333.33",
Department of Health,NHS Hull CCG,31/05/2013,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,PRIVATE MEDICARE LTD,SNCB0813,"228,800.00",
Department of Health,NHS Hull CCG,31/05/2013,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,PRIVATE MEDICARE LTD,SNCB0413E,"28,600.00",
Department of Health,NHS Hull CCG,31/05/2013,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR947,"559,200.00",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SHL000513,"2,207.60",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SHL000513,"2,207.60",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SHL000513,"37,529.20",
Department of Health,NHS Hull CCG,31/05/2013,Clinical&Medical-Voluntary Sector,MENTAL HEALTH SERVICES - OTHER,HULL & EAST YORKSHIRE MIND,SINV263,"116,923.00",
Department of Health,NHS Hull CCG,31/05/2013,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,HULL CITY COUNCIL,1000174100,"25,000.00",
Department of Health,NHS Hull CCG,31/05/2013,Services From Local Authorities,FUNDED NURSING CARE,HULL CITY COUNCIL,1000176008,"36,073.03",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,926,"62,832.66",
Department of Health,NHS Hull CCG,31/05/2013,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000174339,"39,147.79",
Department of Health,NHS Hull CCG,31/05/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800088243,"65,940.80",
Department of Health,NHS Hull CCG,31/05/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800088249,"70,279.93",
Department of Health,NHS Hull CCG,31/05/2013,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000174094,"123,028.56",
