Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210016180,"£26,166.00",2015/16 BLOCK CONTRACT INVOICE MAY 2015,
Department of Health,03F,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410016840,"£54,597.69",AP02 INVOICE FOR 1/12TH OF 15/16 CONTRACT AGREEMENT FOR THE YEAR 2015/16,
Department of Health,03F,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1495,"-£26,166.00",CREDIT NOTE - INCORRECT AMOUNT CHARGED 2015/16 BLOCK CONTRACT INVOICE MAY 2015,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,984,"-£331,686.00",CREDIT NOTE RE OVERCHARGE ON Q1 DEPRESSION AND ANXIETY,
Department of Health,03F,31/05/2015,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR102,"£46,600.00",CONTRACT FUNDING 2015/16,
Department of Health,03F,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010005183,"£2,679,599.75",MAY 2015/16 MENTAL HEALTH AND THERAPY SERVICES BLOCK CONTRACT PAYMENT ,
Department of Health,03F,31/05/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010025430,"£25,011.12",NCA MARCH 2015,
Department of Health,03F,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009203,"£789,996.72",A&E CONTRACT INVOICE MAY 2015 EXCLUDING CQUINS,
Department of Health,03F,31/05/2015,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009233,"£53,990.00",NHS111 CONTRACT MAY 2015,
Department of Health,03F,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009248,"£118,422.33",PTS CONTRACT MAY 2015 EXCLUDING CQUINS,
Department of Health,03F,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210016180,"£14,329,551.00",2015/2016 MAY BLOCK CONTRACT INVOICE,
Department of Health,03F,31/05/2015,Charges from the CSU,FINANCE,NHS YORKSHIRE AND HUMBER CS,7312401989,"£275,642.00",BASELINE MONTH 2 SLA,
Department of Health,03F,31/05/2015,Charges from the CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312402155,"£52,233.00",REVISED INVOICE FOR GP IT APRIL 2015,
Department of Health,03F,31/05/2015,Charges from the CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312402154,"£52,233.00",REVISED INVOICE FOR GP IT MAY 2015,
Department of Health,03F,31/05/2015,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,SUE RYDER CARE,740431,"£55,887.00",NURSING ACCOMMODATION 02/05/2014 - 29/01/2015,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - OTHER,GOODWIN DEVELOPMENT TRUST LTD,12753,"£48,000.00",COURT WARDENS APRIL 14 TO MARCH 15,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,842522,"£29,501.41","NON PTS SERVICE, PATHOLOGY FEE ",
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F311214RECHUL,"£379,903.74",Q3 RECONCILIATION ,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF201502,"£536,891.00",1/12 ESTIMATED ANNUAL CONTRACT VALUE MAY 2015 SPIRE HULL,
Department of Health,03F,31/05/2015,Cont Care- Prior Year Payments,FUNDED NURSING CARE,HULL CITY COUNCIL,1000207438,"£402,066.51",CONTINUING HEALTH RECHARGES MARCH 2015,
Department of Health,03F,31/05/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000208501,"£41,183.37",FNC RECHARGES 01/04/2015 - 26/04/2015,
Department of Health,03F,31/05/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000208509,"£33,421.67",CARERS SUPOORT SERVICE APRIL 2015,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,118671,"£26,197.46",NHS ACTIVITY FEBRUARY 2015,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,118980,"£36,909.94",NHS ACTIVITY MARCH 2015,
Department of Health,03F,31/05/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1485,"£73,336.50",CARE FEES 01/04/2015 - 30/04/2015,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800091547,"£145,670.90",EQUIPMENT PURCHASES AND ACTIVITY AS PER THE ICON SPLIT,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800091578,"£59,019.86",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE (ADULTS) APRIL 2015,
Department of Health,03F,31/05/2015,Clinical&Medical-Independent Sector,WHEELCHAIR SERVICE,NOTTINGHAM REHAB SUPPLIES,1800091579,"£26,761.68",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE (CHILDRENS) APRIL 2015,
