Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/05/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000034629,"£92,330.98",CONTRACT PAYMENT MONTH 02
Department of Health,03F,31/05/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000034631,"£43,808.58",CONTRACT PAYMENT MONTH 02
Department of Health,03F,31/05/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000034633,"£43,894.92",CONTRACT PAYMENT MONTH 02
Department of Health,03F,31/05/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000034634,"£254,033.59",CONTRACT PAYMENT MONTH 02
Department of Health,03F,31/05/2019,C&M-APMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000034635,"-£69,829.89",CONTRACT PAYMENT MONTH 02
Department of Health,03F,31/05/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000034636,"£206,650.18",CONTRACT PAYMENT MONTH 02
Department of Health,03F,31/05/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000034637,"£34,987.03",CONTRACT PAYMENT MONTH 02
Department of Health,03F,31/05/2019,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000034639,"£72,344.13",CONTRACT PAYMENT MONTH 02
Department of Health,03F,31/05/2019,SYS-Non NHS A/P <1Yr,Y62 GENERAL PRACTICE,AVENUES MEDICAL CENTRE,KHU000034803,"£55,295.70",LOCAL ENHANCED SERVICES
Department of Health,03F,31/05/2019,SYS-Non NHS A/P <1Yr,Y62 GENERAL PRACTICE,DR BLOW J D & PARTNERS,KHU000034805,"£84,184.33",LOCAL ENHANCED SERVICES
Department of Health,03F,31/05/2019,SYS-Non NHS A/P <1Yr,Y62 GENERAL PRACTICE,DR AWAN R K & PARTNERS,KHU000034807,"£86,580.70",LOCAL ENHANCED SERVICES
Department of Health,03F,31/05/2019,SYS-Non NHS A/P <1Yr,Y62 GENERAL PRACTICE,DR COOK B F,KHU000034811,"£38,366.15",LOCAL ENHANCED SERVICES
