Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010006425,"£2,797,114.34",NOVEMBER 2015/16 BLOCK CONTRACT MENTAL HEALTH & THERAPY SERVICES,
Department of Health,03F,30/11/2015,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010006500,"£47,235.00",QTR 1 CQUIN ACHIEVEMENT,
Department of Health,03F,30/11/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010031865,"£40,832.61",NCA AUGUST 2015,
Department of Health,03F,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210019548,"£14,216,667.00",2015/16 BLOCK CONTRACT INVOICE NOVEMBER 2015,
Department of Health,03F,30/11/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400010332,"£33,359.58",NCA SEPTEMBER 2015,
Department of Health,03F,30/11/2015,Hcare Srv Rec NHS Trust-CQUIN,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011550,"£25,709.00",A&E CQUINS RECONCILIATION Q1 2015/16,
Department of Health,03F,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011563,"£801,432.00",A&E CORE CONTRACT EXCLUDING CQUINS NOVEMBER 2015,
Department of Health,03F,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011583,"£30,484.00",HART FUNDING NOVEMBER 2015 A&E CONTRACT NOVEMBER 2015,
Department of Health,03F,30/11/2015,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011634,"£55,103.00",NHS111 CONTRACT NOVEMBER 2015,
Department of Health,03F,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810011663,"£118,422.33",CHARGE IN RESPECT OF PTS CONTRACT NOVEMBER 2015,
Department of Health,03F,30/11/2015,Computer Network Costs,PRIMARY CARE IT,NHS YORKSHIRE AND HUMBER CS,7312404076,"£51,886.80",DATA CIRCUIT RECHARGE KCOM INV STR000087973,
Department of Health,03F,30/11/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS YORKSHIRE AND HUMBER CS,7312404449,"£275,642.00","BASELINE 15/16 MONTH 8, 14/15 SLA LESS 5% ON ADMIN",
Department of Health,03F,30/11/2015,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312404463,"£52,233.00",GP IT SLA NOVEMBER 2015,
Department of Health,03F,30/11/2015,Hcare Srv Rec NHS Trust-Contract Penalties,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9660,"-£59,003.00",CREDIT IN RESPECT OF A&E PERFORMANCE PENALTIES Q2 2015/16,
Department of Health,03F,30/11/2015,NHS Recbles<1Yr - CHC Risk Pool Con,BALANCE SHEET,PRIVATE INDIVIDUAL,102347-27-OCT-2015,"£42,870.95",CHC RETRO REIMBURSEMENT,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,914355,"£29,501.41",NON PTS SERVICE PATHOLOGY FEE OCTOBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3101503,"£39,314.94",BME MENTAL HEALTH CDW PROJECT 01/10/2015 - 31/12/2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF201508,"£523,796.00",1/12 ESTIMATED ANNUAL CONTRACT VALUE NOVEMBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000219011,"£123,028.55",RECHARGE FOR CARE IN THE COMMUNITY OCTOBER 2015,
Department of Health,03F,30/11/2015,Cont Care- Adult Joint Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000220377,"£898,720.33",RECHARGE FOR CHC OCTOBER AND NOVEMBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000220470,"£33,421.67",RECHARGE CARERS SUPPORT SERVICE CONTRACT OCTOBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000220472,"£33,421.67",RECHARGE CARERS SUPPORT SERVICE CONTRACT NOVEMBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000220494,"£123,028.55",RECHARGE FOR CARE IN THE COMMUNITY NOVEMEBR 2015,
Department of Health,03F,30/11/2015,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000220525,"£41,613.79",FNC RECHARGES 12/10/2015 - 08/11/2015,
Department of Health,03F,30/11/2015,NHS Recbles<1Yr - CHC Risk Pool Con,BALANCE SHEET,SILLS & BETTERIDGE SOLICITORS,102401-27-OCT-2015,"£57,527.58",CHC RETRO REIMBURSEMENT,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1154HC08,"£38,336.46",INTERPRETING SERVICES,
Department of Health,03F,30/11/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,1195,"-£39,631.86",CREDIT AGAINST INV 7410011102,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,120290,"£36,594.80",NHS ACTIVITY SEPTEMBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HULL CHILDREN`S UNIVERSITY,1348,"£31,250.00",INCOME RESTRICTED INCOME QUARTER 2 FUNDING,
Department of Health,03F,30/11/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1656,"£67,584.34",CARE FEES OCTOBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800092334,"£59,948.89",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE ADULTS OCTOBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800092361,"£114,543.38",EQUIPMENT PURCHASES AND ACTIVITY AS PER THE ICON SPLIT,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,ROSSMORE NURSING HOME,2.02527E+11,"£25,817.45",STROKE BEDS 01/12/2015 - 31/12/2015,
Department of Health,03F,30/11/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410011278,"£39,756.24",CONTINUING CARE NIGHT SITS SEPTEMBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410011441,"£74,580.55",CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE SEPTEMBER 2015,
Department of Health,03F,30/11/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410011509,"£1,964,206.24",NOVEMBER 2015 CONTRACTUAL INCOME RECURRENT STANDARD CONTRACT ,
