Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,30/11/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000032064,"£165,181.06",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000032066,"£94,932.82",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000032068,"£43,093.83",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000032070,"£56,173.98",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000032071,"£285,597.07",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000032072,"-£81,138.27",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000032073,"£222,591.25",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000032075,"£49,725.58",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000032077,"£72,517.19",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000032244,"£58,735.46",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000032248,"£105,362.43",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000032250,"£86,524.28",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000032254,"£38,387.73",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000032258,"£26,962.62",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR FOULDS M & PARTNER,KHU000032260,"£103,573.45",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000032263,"£92,682.40",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MALCZEWSKI G S,KHU000032264,"£28,993.07",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAWCLIFFE V A & PARTNERS,KHU000032269,"£96,734.67",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000032273,"£93,492.02",LOCAL ENHANCED SERVICES
Department of Health,03F,30/11/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,FAITH HOUSE SURGERY,KHU000032275,"£68,912.69",CONTRACT PAYMENT MONTH 8
Department of Health,03F,30/11/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SPRINGS MEDICAL CENTRE CONSORTIUM,KHU000032280,"£135,386.79",LOCAL ENHANCED SERVICES
