Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Hull CCG,31/10/2013,Hcare Srv Rec NHS Trust,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810000767,"96,490.00",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,90006813,"46,066.00",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,32,"-46,066.00",
Department of Health,NHS Hull CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400002815,"29,120.00",
Department of Health,NHS Hull CCG,31/10/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810001496,"96,490.00",
Department of Health,NHS Hull CCG,31/10/2013,Services From Local Authorities,COMMUNITY SERVICES,HULL CITY COUNCIL,1000180949,"123,028.56",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3091303,"41,828.00",
Department of Health,NHS Hull CCG,31/10/2013,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1052,"64,927.07",
Department of Health,NHS Hull CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010009167,"40,256.99",
Department of Health,NHS Hull CCG,31/10/2013,Charges from CSU,FINANCE,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100350,"295,736.00",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000468,"46,970.00",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000446,"46,970.00",
Department of Health,NHS Hull CCG,31/10/2013,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1001013,"44,503.86",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-START (HULL),32013,"27,500.00",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,PRIVATE MEDICARE LTD,SNCB1013E,"28,914.28",
Department of Health,NHS Hull CCG,31/10/2013,Services From Local Authorities,INTERPRETING SERVICES,HULL CITY COUNCIL,1000181365,"35,872.66",
Department of Health,NHS Hull CCG,31/10/2013,Services From Local Authorities,INTERPRETING SERVICES,HULL CITY COUNCIL,1000182000,"26,253.95",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800088871,"32,916.82",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800088372,"68,809.99",
Department of Health,NHS Hull CCG,31/10/2013,Minor Works,ESTATES AND FACILITIES,D3 OFFICE GROUP LTD,SINV00522258,"58,851.68",
Department of Health,NHS Hull CCG,31/10/2013,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000180990,"548,542.00",
Department of Health,NHS Hull CCG,31/10/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010000738/20,"3,042,864.05",
Department of Health,NHS Hull CCG,31/10/2013,Hlthcre-Foundation Trsts,ACUTE CHILDRENS SERVICES,LEEDS TEACHING HOSPITALS NHS TRUST,PP415531,"120,961.29",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410000438,"2,184,650.00",
Department of Health,NHS Hull CCG,31/10/2013,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210004167,14183333.33,
