Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/10/2016,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010041998,"£36,974.47",NCA AUGUST FLEX 2016,
Department of Health,03F,31/10/2016,Clinical&Medical-Othe Public Sector,COLLABORATIVE COMMISSIONING,HULL CITY COUNCIL,1000232999,"£72,296.31",RECHARGE COLLAB SERVICES APRIL - JUNE 2016,
Department of Health,03F,31/10/2016,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,VOYAGE 1 LTD TA VOYAGE CARE,CARE7811515,"-£58,664.04",TO CREDIT 18/3/15 TO  30/11/15 ID 1535,
Department of Health,03F,31/10/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310006555,"£30,796.00",MEDICINE OPTIMISATION SERVICE SEPTEMBER 2016,
Department of Health,03F,31/10/2016,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010009067,"£2,784,701.54",OCTOBER MENTAL HEALTH BLOCK,
Department of Health,03F,31/10/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410053788,"£53,062.17",AP07 BLOCK CONTRACT,
Department of Health,03F,31/10/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016050,"£824,459.00",A&E CONTRACT OCTOBER BLOCK,
Department of Health,03F,31/10/2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016104,"£58,757.45",NHS 111 CONTRACT OCTOBER 2016,
Department of Health,03F,31/10/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810016135,"£117,810.00",ECR PTS CONTRACT OCTOBER 2016,
Department of Health,03F,31/10/2016,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0003049,"£14,383,333.00",BLOCK CONTRACT OCTOBER 2016,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1029617,"£29,501.30",SEPTEMBER NON PTS SERVICE-PATHOLOGY FEE,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161707,"£654,604.00",1/12 ESTIMATE OCTOBER 2016,
Department of Health,03F,31/10/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000235932,"£110,137.77",CARE IN THE COMMUNITY RECHARGE SEPTEMBER 2016,
Department of Health,03F,31/10/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000235969,"£345,446.77",CHC RECHARGES SEPTEMBER 2016,
Department of Health,03F,31/10/2016,Clinical&Medical-Othe Public Sector,REABLEMENT,HULL CITY COUNCIL,1000236080,"£3,026,136.00",2016-17 BETTER CARE FUND,
Department of Health,03F,31/10/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000236258,"£79,443.80",FNC RECHARGE 15/08-11/09/2016,
Department of Health,03F,31/10/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000236481,"£62,590.86",FNC RECHARGES 12/09-09/10/16,
Department of Health,03F,31/10/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000236762,"£110,137.77",CARE IN THE COMMUNITY RECHARGE OCTOBER 2016,
Department of Health,03F,31/10/2016,Hospitality,COMMISSIONING,YORKSHIRE & HUMBER AHSN LTD,190,"£25,411.20",2016/17 MEMBERSHIP FEES ,
Department of Health,03F,31/10/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2076,"£46,316.10","CHC 2941, 4100, 5094 & 3458 01/09/16 - 30/09/16",
Department of Health,03F,31/10/2016,Other professional fees,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES,2314,"£50,714.82",HUMBER COAST AND VALE STP EXTENSION SEPTEMBER 2016,
Department of Health,03F,31/10/2016,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,301001241,"£69,834.83",HULL CITY EA INVOICE OCTOBER 2016,
Department of Health,03F,31/10/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,48377782,"£87,905.76","WILBERFORCE COURT RENT Q1, Q2, Q3",
Department of Health,03F,31/10/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48379162,"£34,857.24","WILBERFORCE COURT SERVICE CHARGE Q1, Q2, Q3",
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,BARCHESTER HEALTHCARE LTD,494000378,"£65,170.29",CHC HULL108 ENHANCED SUPPORT 26/04-31/08/16,
Department of Health,03F,31/10/2016,Minor Works,ESTATES AND FACILITIES,SEWELL CONSTRUCTION,508184,"£116,400.00",WILBERFORCE COURT OFFICE FIT OUT,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016410,"£64,510.72",BRANSHOLME HC RENT AUGUST 16,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016582,"£64,510.72",BRANSHOLME HC RENT SEPTEMBER 16,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410016659,"£35,319.33",RECHARGE FOR EAST RIDING CHC FUNDED PERSONAL HEALTH BUDGET AUG 2016,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410016660,"£57,106.63",RECHARGE CHC FUNDED PERSONAL HEALTH BUDGET AUG 2016,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016709,"£1,625,000.00",OCTOBER BLOCK INTEGRATED COMMUNITY SERVICES 2016/17,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016710,"£109,616.66",2016/17 CONTRACT VARIATION OCTOBER 16,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016713,"£54,166.67",OCTOBER 2016 CONTRACTUAL INCOME SEXUAL HEALTH SERVICES,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016716,"£370,822.29",OCTOBER 2016 CONTRACTUAL INCOME OUT OF SCOPE,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410016718,"£292,448.52",CONTRACTUAL INCOME DEPRESSION AND ANXIETY OCTOBER 2016,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016721,"£300,000.00",OCTOBER 2016 CONTRACTUAL INCOME URGENT CARE 2016/17,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016754,"£32,413.43",RUNNING COSTS FOR UNIT 2 PRIORY PARK AUGUST ,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,859HC06,"£36,512.71",FACE TO FACE INTERPRETING SERVICES/TELEPHONE INTERPRETING,
Department of Health,03F,31/10/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,OPTIONS AUTISM (2) LTD,8877,"-£38,901.43",CHC CREDIT ID1563 REFUND 6TH JULY - 30 SEPT 16,
Department of Health,03F,31/10/2016,Chrgs from SLA,PROGRAMME PROJECTS,KIER BUSINESS SERVICES LTD,90217071,"£177,572.40",SERVICES RECEIVED IN Y&H CCGS CONTRACT,
Department of Health,03F,31/10/2016,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR204,"£42,716.67",CONTRACT FUNDING 2016/17,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,OCT16HCCGH030,"£136,788.16",FIXED PAYMENT OCT 2016,
Department of Health,03F,31/10/2016,Clinical&Medical-Independent Sector,CHILD AND ADOLESCENT MENTAL HEALTH,RUSKIN MILL TRUST LTD,SIN004715,"£46,247.50",FREEMAN COLLEGE SUMMER FEES 2015/16,
Department of Health,03F,31/10/2016,Furniture & Fittings,ESTATES AND FACILITIES,D3 OFFICE GROUP LTD,SINV00645671,36793.8,STATIONARY/OFFICE EQUIPMENT SEPT 16,
