Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000041006,"£90,818.28",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000041008,"£49,570.78",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000041009,"£43,526.17",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000041010,"-£39,812.50",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000041011,"£294,986.64",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000041012,"-£67,221.08",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000041013,"£193,950.71",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000041014,"£39,412.60",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000041170,"£97,395.44",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR BLOW J D & PARTNERS,KHU000041171,"-£33,544.65",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000041172,"£106,941.01",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR AWAN R K & PARTNERS,KHU000041174,"£94,962.27",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000041176,"£41,399.65",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000041180,"£28,523.04",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR FOULDS M & PARTNER,KHU000041181,"-£37,907.60",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR FOULDS M & PARTNER,KHU000041182,"£102,245.30",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR JR LORENZ & PARTNERS,KHU000041183,"-£147,735.45",CONTRACT PAYMENT MONTH 7
Department of Health,03F,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR JR LORENZ & PARTNERS,KHU000041184,"£690,555.03",CONTRACT PAYMENT MONTH 7
