Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/09/2016,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,301000740,"£69,834.83",HULL CITY EA INVOICE AUGUST 16,
Department of Health,03F,30/09/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS NORTH OF ENGLAND CSU,7310006278,"£39,937.00",MEDICINE OPTIMISATION & IFR SERVICE AUGUST 2016,
Department of Health,03F,30/09/2016,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010008749,"£2,784,701.54",SEPT 16 BLOCK THERAPY SERVICES/MENTAL HEALTH,
Department of Health,03F,30/09/2016,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410051247,"£77,591.68",QTR 1 2016/17,
Department of Health,03F,30/09/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410052349,"£53,062.17",AP06 BLOCK CONTRACT,
Department of Health,03F,30/09/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015695,"£824,459.00",A&E CONTRACT SEPTEMBER 16,
Department of Health,03F,30/09/2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015748,"£58,757.45",NHS 111 CONTRACT SEPTEMBER 2016,
Department of Health,03F,30/09/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810015777,"£117,810.00",PTS ERC BLOCK ELEMENT OF PTS CONTRACT SEPTEMBER 16,
Department of Health,03F,30/09/2016,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,C0000289,"-£3,500,000.00",CREDIT RE INVOICE H0001950,
Department of Health,03F,30/09/2016,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0001950,"£3,500,000.00",ESTIMATED Q1 STP PAYMENT,
