Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description
Department of Health,03F,30/09/2018,Recharge : Provided,PRC DELEGATED CO-COMMISSIONING,NHS ENGLAND,7000028650,"£34,661.57",Q1 18/19 EUROPEAN CROSS BORDER FLOWS
Department of Health,03F,30/09/2018,Other professional fees,NON RECURRENT PROGRAMMES,NHS EAST RIDING OF YORKSHIRE CCG,7015000821,"£35,611.61",RECHARGE ATTAIN MSK REVIEW FOR STP FEB-APRIL 18
Department of Health,03F,30/09/2018,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010063920,"£35,881.92",M03 FLEX NCA 2018/19
Department of Health,03F,30/09/2018,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER TEACHING NHS FOUNDATION TRUST,59881013,"£202,158.61",CQUIN 2017/18 Q4 RECONCILLIATION MENTAL HEALTH & COMMUNITY
Department of Health,03F,30/09/2018,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER TEACHING NHS FOUNDATION TRUST,59881972,"£46,591.30",Q4 CQUIN REC 2017/18
Department of Health,03F,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000031245,"£159,837.11",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000031247,"£90,651.74",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000031249,"£46,058.99",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000031251,"£55,693.74",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000031253,"£280,175.50",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000031255,"£224,354.97",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000031257,"£49,429.33",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000031259,"£109,401.05",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000031430,"£61,128.71",LOCAL ENHANCED SERVICES
Department of Health,03F,30/09/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR BLOW J D & PARTNERS,KHU000031434,"£115,171.73",LOCAL ENHANCED SERVICES
Department of Health,03F,30/09/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR AWAN R K & PARTNERS,KHU000031436,"£86,126.00",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR COOK B F,KHU000031440,"£34,899.70",LOCAL ENHANCED SERVICES
Department of Health,03F,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR HENDOW G T,KHU000031444,"£27,743.41",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR FOULDS M & PARTNER,KHU000031446,"£97,051.17",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MILLER J & PARTNERS,KHU000031449,"£65,689.51",LOCAL ENHANCED SERVICES
Department of Health,03F,30/09/2018,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MALCZEWSKI G S,KHU000031451,"£26,226.52",CONTRACT PAYMENT MONTH 6
Department of Health,03F,30/09/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RAWCLIFFE V A & PARTNERS,KHU000031457,"£115,682.40",LOCAL ENHANCED SERVICES
Department of Health,03F,30/09/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS YU OGUNBA & AHMED,KHU000031461,"£98,318.56",LOCAL ENHANCED SERVICES
Department of Health,03F,30/09/2018,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FAITH HOUSE SURGERY,KHU000031464,"£67,071.96",LOCAL ENHANCED SERVICES
