Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,31/03/2019,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,AMPHION HOME CARE NEL LTD,1006651,"30,892.00",NAMED PATIENT 14/03/19-06/01/19 CARE
Department of Health,03K,31/03/2019,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,AMPHION HOME CARE NEL LTD,1020051,"29,756.00",NAMED PATIENT 14/03/19-06/01/19 CARE
Department of Health,03K,31/03/2019,Contract & Agency-Agency A & C,COMMISSIONING,ATTAIN HEALTH MANAGEMENT SERVICES LTD,3684,"27,717.00",EMPLOYMENT FEES
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000034072,"-43,418.20",GMS MAR 19
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000034073,"66,042.48",GMS MAR 19
Department of Health,03K,31/03/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,104035,"25,868.92",NCA DECEMBER
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000034053,"-33,966.64",GMS MAR 19
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000034054,"60,481.79",GMS MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,162181,"32,439.00",NCA DEC 18
Department of Health,03K,31/03/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100088788,"32,777.24",BALBOROUGH TREATMENT MAR 19
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000034057,"-46,227.96",GMS MAR 19
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000034058,"77,199.19",GMS MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56398305,"280,007.00",SLA MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56398408,"58,269.00",Q3 FREEZE+CQUIN
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000034060,"-57,250.05",GMS MAR 19
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000034061,"117,952.43",GMS MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec NHS Trust-CQUIN,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,11313542,"475,897.00",SLA MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,11313551,"146,697.00",SLA MAR 19
Department of Health,03K,31/03/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ELITE CARE SOLUTIONS,47252,"28,119.04",NAMED PATIENT 04/02 - 03/03 CARE FEES
Department of Health,03K,31/03/2019,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ELYSIUM HEALTHCARE LTD,ARB01672,"25,197.00",NAMED PATIENT JANUARY CARE
Department of Health,03K,31/03/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HAVENMERE HEALTH CARE LTD,1401B169658,"42,024.68",CHC SCHEDULE PAYMENT FEB 19
Department of Health,03K,31/03/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,HAVENMERE HEALTH CARE LTD,1413B169658,"39,887.64",SPECIALIST SERVICES FEB 19
Department of Health,03K,31/03/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HAVENMERE HEALTH CARE LTD,1419B169658,"46,527.33",CHC SCHEDULE PAYMENT MAR 19
Department of Health,03K,31/03/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,HAVENMERE HEALTH CARE LTD,1431B169658,"44,161.32",SPECIALIST SERVICES MAR 19
Department of Health,03K,31/03/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,HEATHCOTES LTD,8172,"26,778.86",NAMED PATIENT 05/10 - 25/02 CARE FEES
Department of Health,03K,31/03/2019,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0021912,"1,013,504.00",SLA MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0022292,"33,971.25",Q2 CQUIN
Department of Health,03K,31/03/2019,LPF Management Fees,PRIMARY CARE IT,KIER BUSINESS SERVICES LTD,10145437,"66,993.60",LPF MAR 19
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KIRTON LINDSEY SURGERY,KHU000034062,"-49,628.50",GMS MAR 19
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KIRTON LINDSEY SURGERY,KHU000034063,"90,657.33",GMS MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410121591,"63,328.00",SLA MAR 19
Department of Health,03K,31/03/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,MEDWAY COUNCIL,1.61E+17,"132,527.85",NAMED PATIENT 12/01/18-12/10/18 CHC FUNDNG
Department of Health,03K,31/03/2019,Basic Sal-Rechgs to-from Other NHS,CEO/ BOARD OFFICE,NHS HULL CCG,7015500688,"39,188.78",RECHARGE SALARIES Q4
Department of Health,03K,31/03/2019,Soc Care-Re-ablement services,REABLEMENT,NORTH LINCOLNSHIRE COUNCIL,105527-25-FEB-2019,"546,083.33",BCF MAR 19
Department of Health,03K,31/03/2019,Services From Local Authorities,INTERMEDIATE CARE,NORTH LINCOLNSHIRE COUNCIL,PPA0039924,"104,110.00",INTERMEDIATE CARE SERVICE CONTRIBUTION Q4
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400022653,"8,964,912.00",BLOCK MARCH
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400022904,"601,733.00",CQUIN SLA M10
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400023006,"51,000.00",62 DAY CANCER FUNDING
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400023098,"78,000.00",62 DAY CANCER FUNDING
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,2400023099,"127,000.00",62 DAY PERFORMANCE IMPROVEMENT FUNDING MONITORING JANUARY
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,9810019382,"68,640.82",REF: NAMED PATIENT MARCH 2019
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,RIVERSIDE SURGERY,KHU000034077,"-55,051.20",GMS MAR 19
Department of Health,03K,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,RIVERSIDE SURGERY,KHU000034078,"94,742.47",GMS MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,85075,"43,026.00",MH COMMUNITY CONTRACT 18-19
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,85112,"1,125,676.42",SLA MAR 19
Department of Health,03K,31/03/2019,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,SAFECARE NETWORK LTD,INV0099,"26,666.67",S.A.F.E SERVICE FEB 19
Department of Health,03K,31/03/2019,Miscellaneous Expenditure (L9),GP FORWARD VIEW,SAFECARE NETWORK LTD,PPEAMAR19,"69,999.00",SLA MAR 19
Department of Health,03K,31/03/2019,Oth Trav Csts Commissions and discount,PATIENT TRANSPORT,SAVOY VENTURES LTD,PP8868 8967 8966,"330,648.00",SLA MAR 19
Department of Health,03K,31/03/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,SENSE,SEN124704,"55,460.00",REF: 0753 05/10/18-28/02/19
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE CHILDRENS SERVICES,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,2100198978,"38,021.17",SLA MAR 19
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000556017,"100,317.00",BLOCK MARCH
Department of Health,03K,31/03/2019,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000556931,"126,595.00",OVERPERFORMANCE PAYMENT 
