Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,31/08/2020,Miscellaneous Expenditure (L9),GP FORWARD VIEW,ANCORA MEDICAL PRACTICE,INV00025,"35,887.00",AUGUST 2020 PC NETWORK FUND 
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000040556,"263,003.48",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ASHBY TURN PRIMARY CARE PARTNERS,KHU000040523,"159,873.20",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,Miscellaneous Expenditure (L9),COMMUNITY SERVICES,BARNARDOS,141011089,"30,499.08",FUNDING TOWARDS THERAPEAUTIC SERVICES 20/21 QTR 1 APR - JUN 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000040548,"-43,544.29",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000040549,"129,519.45",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000040524,"70,319.34",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000040527,"-45,835.41",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000040528,"194,177.25",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000040526,"152,426.59",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000040532,"76,027.00",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000040533,"-40,797.63",LOCAL ENHANCED SERVICES AUGUST 2020
Department of Health,03K,31/08/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000040534,"298,904.47",LOCAL ENHANCED SERVICES AUGUST 2020
