Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,31/12/2019,Miscellaneous Expenditure (L9),GP FORWARD VIEW,ANCORA MEDICAL PRACTICE,INV0003,"71,774.00",DECEMBER 2019 & JANUARY 202 1/6TH PC NETWORK FUND 
Department of Health,03K,31/12/2019,Miscellaneous Expenditure (L9),PRIMARY CARE IT,ANCORA MEDICAL PRACTICE,INV0004,"53,002.02",SET UP CALL ROUTING CLOUD
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000037580,"234,408.39",GMS DEC 19
Department of Health,03K,31/12/2019,Miscellaneous Expenditure (L9),GP FORWARD VIEW,ANCORA MEDICAL PRACTICE,PCN001,"71,774.00",PRIMARY CARE NETWORK FUND OCTOBER & NOVEMBER 2019 1/6TH
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000037546,"135,580.38",GMS DEC 19
Department of Health,03K,31/12/2019,Contract & Agency-Agency A & C,COMMISSIONING,ATTAIN HEALTH MANAGEMENT SERVICES LTD,4186,"25,530.00",MANAGEMENT SERVICES 
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000037572,"-47,755.89",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000037573,"134,906.70",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000037548,"78,254.65",GMS DEC 19
Department of Health,03K,31/12/2019,Clinical&Medical-Independent Sector,NCAS/OATS,BMI HEALTHCARE LTD,119351,"32,347.43",NCA OCTOBER 2019
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000037551,"-56,132.03",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000037552,"156,428.01",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000037550,"152,798.71",GMS DEC 19
Department of Health,03K,31/12/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100106051,"48,942.00",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000037556,"87,202.09",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000037557,"-51,579.91",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000037558,"350,848.02",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000037554,"106,176.44",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000037366,"52,760.66",GMS DEC 19
Department of Health,03K,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56404666,"315,222.00",DECEMBER 19 SLA
Department of Health,03K,31/12/2019,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56404691,"28,605.00",QTR 2 FREEZE POSITION CONTRACT
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000037559,"-78,422.82",GMS DEC 19
Department of Health,03K,31/12/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000037560,"276,379.07",GMS DEC 19
Department of Health,03K,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,4000000985,"521,320.00",A&E SLA DECEMBER 2019
