Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,29/02/2020,Miscellaneous Expenditure (L9),GP FORWARD VIEW,ANCORA MEDICAL PRACTICE,INV0010,"71,774.00",PC NETWORK FUND FEB & MAR
Department of Health,03K,29/02/2020,C&M-GMS LES Care of Older People,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,INV0011,"43,395.95",GMS FEB 20
Department of Health,03K,29/02/2020,Miscellaneous Expenditure (L9),GP FORWARD VIEW,ANCORA MEDICAL PRACTICE,INV0013,"42,632.29",NETWORK ENHANCED
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000038289,"207,450.07",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000038257,"122,517.36",GMS FEB 20
Department of Health,03K,29/02/2020,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BARNARDOS,141010252,"30,499.08",FUNDING TOWARDS THERAPEUTIC SERIVCES 2019/20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000038281,"-35,452.56",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000038282,"124,394.05",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000038259,"73,807.55",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000038262,"-45,892.78",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000038263,"146,015.43",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000038261,"144,172.51",GMS FEB 20
Department of Health,03K,29/02/2020,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100107072,"-28,635.67",OCTOBER 2019 REC
Department of Health,03K,29/02/2020,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100109703,"48,942.00",FEBRUARY 2020 ACTIVITY
Department of Health,03K,29/02/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CEDAR MEDICAL PRACTICE,KHU000038265,"-28,822.50",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000038266,"77,319.79",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000038267,"-77,358.40",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000038268,"267,312.75",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000038264,"96,271.24",GMS FEB 20
Department of Health,03K,29/02/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000038088,"143,901.09",GMS FEB 20
Department of Health,03K,29/02/2020,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56405851,"315,222.00",SLA FEB 20
Department of Health,03K,29/02/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000038269,"-74,933.25",GMS FEB 20
