Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000037939,"214,245.41",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000037906,"120,528.01",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000037931,"-46,656.36",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000037932,"127,631.90",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000037908,"75,174.29",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000037911,"-45,825.29",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000037912,"147,275.30",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000037910,"149,085.90",GMS JAN 20
Department of Health,03K,31/01/2020,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100107741,"48,942.00",JANUARY 2020 ACTIVITY
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000037915,"79,771.37",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000037916,"-52,127.80",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000037917,"275,380.32",GMS JAN 20
Department of Health,03K,31/01/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000037913,"92,626.28",GMS JAN 20
Department of Health,03K,31/01/2020,Other Gen Supplies & Srv,PRIMARY CARE IT,CONCEPT HEALTH TECHNOLOGIES LTD,NLINCSPR191201,"443,828.81",VARIOUS IT EQUIPMENT DECEMBER 2019
Department of Health,03K,31/01/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000037735,"52,804.20",GMS JAN 20
