Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,31/07/2020,Miscellaneous Expenditure (L9),GP FORWARD VIEW,ANCORA MEDICAL PRACTICE,INV00024," 35,887.00 ",PC NETWORK FUND JUL 20
Department of Health,03K,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,ANCORA MEDICAL PRACTICE,KHU000040212,"-25,315.30 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000040213," 221,855.84 ",GMS JULY 20
Department of Health,03K,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ASHBY TURN PRIMARY CARE PARTNERS,KHU000040179,"-25,270.00 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000040180," 125,588.15 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000039925,"-41,922.05 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000039926," 85,234.44 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000040206,"-40,308.08 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000040207," 123,034.35 ",GMS JULY 20
Department of Health,03K,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BIRCHES MEDICAL PRACTICE,KHU000040181,"-33,489.67 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000040182," 84,702.57 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000039907,"-37,664.45 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000039908," 78,686.19 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000040185,"-42,413.56 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000040186," 146,310.82 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000040184," 140,799.19 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000040190," 87,091.82 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000039911,"-52,766.80 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000039912," 106,168.52 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000040191,"-49,302.88 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000040192," 266,149.12 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000040188," 93,603.92 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000040020," 74,132.22 ",GMS JULY 20
Department of Health,03K,31/07/2020,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,CUMBRIA NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,03KBP052001," 54,828.27 ",SLA AUG 20
Department of Health,03K,31/07/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,03KBP052002," 312,178.44 ",SLA AUG 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000039913,"-67,344.70 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000039914," 151,868.01 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000040193,"-84,000.20 ",GMS JULY 20
Department of Health,03K,31/07/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000040194," 260,560.41 ",GMS JULY 20
Department of Health,03K,31/07/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,03KBP052003," 539,258.85 ",SLA AUG 20
Department of Health,03K,31/07/2020,Non PO Suspense Account,I+E SET-UP DEFAULT,ELYSIUM HEALTHCARE LTD,HLH00727," 31,969.50 ",CHC JUN 20 fees
