Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000039366,"238,793.78",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000039334,"175,767.82",GMS MAY 20
Department of Health,03K,31/05/2020,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BARNARDOS,141010566,"30,499.08",THERAPEUTIC SERVICES Q4
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000039358,"-40,936.48",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000039359,"130,087.16",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000039335,"117,618.93",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000039338,"-49,203.66",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000039339,"160,215.08",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000039336,"-26,274.27",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000039337,"155,986.25",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000039342,"90,321.82",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000039343,"-48,360.94",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000039344,"272,915.83",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000039340,"92,503.78",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CORE CARE LINKS,KHU000039164,"99,281.60",GMS MAY 20
Department of Health,03K,31/05/2020,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,CUMBRIA NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,03KBP032001,"54,828.27",SLA JUN 20
Department of Health,03K,31/05/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,03KBP032002,"312,178.44",SLA JUN 20
Department of Health,03K,31/05/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56406909,"-68,544.00",RECONCILIATION ADJUSTMENT
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000039345,"-82,608.94",GMS MAY 20
Department of Health,03K,31/05/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000039346,"300,273.24",GMS MAY 20
Department of Health,03K,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,03KBP032003,"539,258.85",SLA JUN 20
Department of Health,03K,31/05/2020,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,ELITE CARE SOLUTIONS,47267,"29,876.48",NAMED PATIENT FEES 30/03 - 26/04
Department of Health,03K,31/05/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,ELYSIUM HEALTHCARE LTD,HLH00676,"31,969.50",NAMED PATIENT BED FEE APR 20
Department of Health,03K,31/05/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HAVENMERE HEALTH CARE LTD,1667B169658,"36,594.77",CHC APR 20
