Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000037213,"221,093.44",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000037180,"167,771.22",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000037205,"-38,872.08",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000037206,"131,899.71",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000037182,"97,278.38",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000037185,"-43,642.11",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000037186,"159,901.85",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000037184,"151,493.41",GMS NOV 19
Department of Health,03K,30/11/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100104143,"48,942.00",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000037189,"81,032.08",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000037190,"-47,683.81",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000037191,"260,230.62",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000037188,"91,016.57",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000037004,"68,558.27",GMS NOV 19
Department of Health,03K,30/11/2019,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,I0097649,"35,594.20",NCA M6
Department of Health,03K,30/11/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56403927,"315,222.00",NOVEMBER 19 SLA
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000037192,"-90,449.93",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000037193,"285,466.85",GMS NOV 19
Department of Health,03K,30/11/2019,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,4000000903,"521,320.00",NOVEMBER 19 SLA
Department of Health,03K,30/11/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ELITE CARE SOLUTIONS,47261,"28,119.04",CARE FEES 14/10 - 10/11
Department of Health,03K,30/11/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,ELYSIUM HEALTHCARE LTD,HLH00551,"33,035.15",CARE FEES OCT 19
Department of Health,03K,30/11/2019,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,HAVENMERE HEALTH CARE LTD,1552B169658,"37,814.59",CHC OCT 19
Department of Health,03K,30/11/2019,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HAVENMERE HEALTH CARE LTD,1552D169658,"62,096.99",CHC OCT 19
Department of Health,03K,30/11/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,HAVENMERE HEALTH CARE LTD,1564B169658,"35,581.81",SPECIALIST SERVICES OCT 19
Department of Health,03K,30/11/2019,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HOLLY TREE LODGE NURSING HOME,1525,"25,904.72",CARE FEES 23/09 - 20/10
Department of Health,03K,30/11/2019,Training Expenses,GP FORWARD VIEW,HULL UNIVERSITY TEACHING HOSPITAL NHS TRUST,H0027313,"31,000.00",APPRENTICESHIP LEVY / RECEPTION
Department of Health,03K,30/11/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL UNIVERSITY TEACHING HOSPITAL NHS TRUST,H0027379,"1,134,338.00",NOVEMBER 19 SLA
Department of Health,03K,30/11/2019,Cont Care-Physical Disab (<65),CHC AD FULL FUND PERS HLTH BUD,PRIVATE INDIVIDUAL,4261 9 2019,"25,708.89",CHC FEES
Department of Health,03K,30/11/2019,LPF Management Fees,PRIMARY CARE IT,KIER BUSINESS SERVICES LTD,10195328,"52,778.40",NOVEMBER 19 SLA
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KIRTON LINDSEY SURGERY,KHU000037194,"-58,197.34",GMS NOV 19
Department of Health,03K,30/11/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KIRTON LINDSEY SURGERY,KHU000037195,"245,897.37",GMS NOV 19
Department of Health,03K,30/11/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410141712,"70,338.00",BLOCK NOV 19
Department of Health,03K,30/11/2019,Clinical&Medical-Independent Sector,NCAS/OATS,NEW MEDICAL SYSTEMS LTD,2015,"50,541.11",PROCEDURES OCT 19
Department of Health,03K,30/11/2019,Hcare Srv Rec NHS CCG-Non Contract,NCAS/OATS,NHS LINCOLNSHIRE WEST CCG,7017101281,"53,342.42",HAWTHORN ACTIVITY RECHARGE
Department of Health,03K,30/11/2019,Hcare Srv Rec NHS CCG-Non Contract,NCAS/OATS,NHS LINCOLNSHIRE WEST CCG,7017101497,"-53,342.42",CREDIT HAWTHORN ACTIVITY
Department of Health,03K,30/11/2019,Other Gen Supplies & Srv,PRIMARY CARE IT,NHS NORTH EAST LINCOLNSHIRE CCG,7015701318,"29,520.00",PRIMARY CARE DATA QUALITY SERVICE
Department of Health,03K,30/11/2019,LPF Management Fees,NCAS/OATS,NHS NORTH OF ENGLAND CSU,7310016996,"37,381.25",NOVEMBER 19 SLA
