Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000036855,"209,271.80",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000036821,"119,020.45",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BARNARDOS,141009695,"30,449.08",FUNDING TOEARDS BARNARDO'S THERAPEUTIC SERVICES 19/20
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000036847,"-38,312.10",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000036848,"119,015.53",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000036823,"75,658.94",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000036826,"-45,138.04",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000036827,"147,533.68",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000036825,"144,062.36",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,100102395,"48,942.00",NCA OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000036831,"79,693.06",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000036832,"-65,487.93",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000036833,"249,661.11",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000036829,"91,695.26",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CORE CARE LINKS,KHU000036641,"52,804.20",GMS OCTOBER 2019
Department of Health,03K,01/10/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,MAS0105505,"46,851.95",NAMED PATIENT SPECIALIST CARE
Department of Health,03K,01/10/2019,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,MAS0109628,"46,686.50",NAMED PATIENT SPECIALIST CARE
Department of Health,03K,01/10/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,56402501,"-70,349.00",RECONCILAITION Q1
