Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, AP Amount (£) ,Description
Department of Health,03K,30/09/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000040927,"-55,536.69",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ANCORA MEDICAL PRACTICE,KHU000040928,"265,477.07",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ASHBY TURN PRIMARY CARE PARTNERS,KHU000040893,"-53,844.52",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ASHBY TURN PRIMARY CARE PARTNERS,KHU000040894,"131,788.41",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000040920,"-44,363.91",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BARNETBY MEDICAL CENTRE,KHU000040921,"124,485.40",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BIRCHES MEDICAL PRACTICE,KHU000040896,"70,333.16",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000040899,"-44,734.34",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE STREET SURGERY,KHU000040900,"150,515.60",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAMBRIDGE AVENUE MEDICAL CENTRE,KHU000040898,"145,651.60",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CEDAR MEDICAL PRACTICE,KHU000040904,"75,230.35",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000040905,"-64,207.00",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,CENTRAL SURGERY BARTON HUMBER,KHU000040906,"281,950.80",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH LANE MEDICAL CENTRE,KHU000040902,"91,468.99",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,CORE CARE LINKS,KHU000040711,"57,209.32",GMS SEPT 20
Department of Health,03K,30/09/2020,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,CUMBRIA NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,03KBP062001,"54,828.27",SLA OCT 20
Department of Health,03K,30/09/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,03KBP062002,"312,178.44",SLA OCT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000040907,"-87,454.68",GMS SEPT 20
Department of Health,03K,30/09/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR P A WEBSTER & PARTNERS,KHU000040908,"263,021.78",GMS SEPT 20
Department of Health,03K,30/09/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,03KBP062003,"539,258.85",SLA OCT 20
Department of Health,03K,30/09/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ELITE CARE SOLUTIONS,47272A,"28,997.76",PRIVATE PATIENT CARE FEES 17/08 - 13/09
Department of Health,03K,30/09/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,ELYSIUM HEALTHCARE LTD,HLH00753,"33,035.15",PRIVATE PATIENT CARE FEES JUL 20
Department of Health,03K,30/09/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,ELYSIUM HEALTHCARE LTD,HLH00776,"33,035.15",PRIVATE PATIENT CARE FEES AUG 20
