Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/10/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,14590496,"111,270.00",
Department of Health,NHS Rotherham CCG,31/10/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,14493711,"34,684.68",
Department of Health,NHS Rotherham CCG,31/10/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,14493962,"44,673.25",
Department of Health,NHS Rotherham CCG,31/10/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,14493965,"164,953.58",
Department of Health,NHS Rotherham CCG,31/10/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,14493965,"160,782.99",
Department of Health,NHS Rotherham CCG,31/10/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,14649038,"37,138.56",
Department of Health,NHS Rotherham CCG,31/10/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,14590426,"-36,974.00",
Department of Health,NHS Rotherham CCG,31/10/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,14590522,"46,108.00",
Department of Health,NHS Rotherham CCG,31/10/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,14474451,"844,443.00",
Department of Health,NHS Rotherham CCG,31/10/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,14590431,"90,171.00",
