Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/07/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,18023653,"110,213.00"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,17942448,"26,541.85"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,17942502,"41,051.32"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,17994374,"34,451.10"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,18087512,"46,830.00"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,18118499,"40,865.00"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,18150943,"58,250.00"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,18213362,"58,250.00"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,18213389,"55,989.00"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,18213399,"40,865.00"
Department of Health,NHS Rotherham CCG,31/07/2017,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,18213413,"55,989.00"
Department of Health,NHS Rotherham CCG,31/07/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,17942443,"837,676.00"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966817,"35,824.38"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966817,"3,629.25"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966817,"2,677.08"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966817,"1,008.30"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966817,531
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966817,"3,300.53"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966815,"93,355.94"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966815,"8,813.42"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966815,"1,077.92"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966815,"6,926.67"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966815,"2,142.00"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966815,"9,545.93"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966819,"90,978.09"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966819,"10,904.00"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966819,"1,020.33"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966819,1.42
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966819,"3,275.00"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966819,"5,345.83"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966819,"1,652.00"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966819,"9,058.03"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170045,"44,320.82"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170045,185.09
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170045,"2,991.67"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170045,285
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170045,868.4
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170045,"5,826.52"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966825,"109,006.52"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966825,"10,316.46"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966825,"1,348.67"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966825,20.87
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966825,"1,777.14"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,17966825,"11,408.17"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170047,"83,812.07"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170047,"3,858.30"
Department of Health,NHS Rotherham CCG,31/07/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHEHRAM CCG GP PRACTICE,18170047,"6,994.79"
