Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/01/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,15590519,"111,270.00 "
Department of Health,NHS Rotherham CCG,31/01/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,15563469,"34,684.68 "
Department of Health,NHS Rotherham CCG,31/01/2017,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,15696591,"164,953.58 "
Department of Health,NHS Rotherham CCG,31/01/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,15696591,"160,782.99 "
Department of Health,NHS Rotherham CCG,31/01/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,15774449,"44,673.25 "
Department of Health,NHS Rotherham CCG,31/01/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,15774538,"46,108.00 "
Department of Health,NHS Rotherham CCG,31/01/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,15563352,"844,443.00 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610293,"(39,210.99)"
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610293,(151.82)
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610293,(24.46)
Department of Health,NHS Rotherham CCG,31/01/2017,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610293,(911.25)
Department of Health,NHS Rotherham CCG,31/01/2017,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610293,(965.25)
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610295,"7,258.58 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610295,"73,239.63 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610295,"(1,644.46)"
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610295,"2,677.08 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610295,914.83 
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610295,496.10 
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR A U H GONI,15610295,"2,996.65 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610287,"(81,597.25)"
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610287,(326.90)
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610287,(103.76)
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610287,(48.12)
Department of Health,NHS Rotherham CCG,31/01/2017,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610287,"(6,702.50)"
Department of Health,NHS Rotherham CCG,31/01/2017,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610287,"(6,756.76)"
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610291,"2,155.83 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610291,"169,769.82 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610291,"8,813.42 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610291,"(4,222.75)"
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610291,"6,926.67 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610291,"2,864.40 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ABBEY & PARTNERS,15610291,"8,640.75 "
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR AJ COLE & PARTNERS,15610297,"(82,253.62)"
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR AJ COLE & PARTNERS,15610297,(320.04)
Department of Health,NHS Rotherham CCG,31/01/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR AJ COLE & PARTNERS,15610297,(70.62)
