Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/03/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,16430360,"111,279.00 "
Department of Health,NHS Rotherham CCG,31/03/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,16430301,"34,684.68 "
Department of Health,NHS Rotherham CCG,31/03/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,16334479,"25,645.68 "
Department of Health,NHS Rotherham CCG,31/03/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,16334533,"34,985.60 "
Department of Health,NHS Rotherham CCG,31/03/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,16430368,"44,673.25 "
Department of Health,NHS Rotherham CCG,31/03/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,16477461,"46,108.00 "
Department of Health,NHS Rotherham CCG,31/03/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,16318560,"844,443.00 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396641,"(39,335.17)"
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396641,(151.82)
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396641,(24.46)
Department of Health,NHS Rotherham CCG,31/03/2017,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396641,(911.25)
Department of Health,NHS Rotherham CCG,31/03/2017,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396641,(965.25)
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396642,"7,258.58 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396642,"73,239.63 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396642,"5,127.16 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396642,"(1,638.07)"
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396642,"2,140.71 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396642,"2,677.08 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396642,914.83 
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396642,"2,996.65 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396639,"(81,597.25)"
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396639,(326.90)
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396639,(124.32)
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396639,(48.12)
Department of Health,NHS Rotherham CCG,31/03/2017,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396639,"(6,702.50)"
Department of Health,NHS Rotherham CCG,31/03/2017,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396639,"(6,756.76)"
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396640,"2,155.83 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396640,"170,169.01 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396640,"(4,222.75)"
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396640,"3,301.03 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396640,"6,926.67 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396640,"8,640.75 "
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396643,"(82,377.39)"
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396643,(320.04)
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396643,(70.62)
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396643,(47.11)
Department of Health,NHS Rotherham CCG,31/03/2017,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,16396644,"2,040.58 "
