Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,30/09/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,14219720,"109,945.00 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,14164057,"34,684.68 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,14060296,"72,199.24 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,14109121,"44,673.25 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,14164126,"164,953.58 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,14164126,"160,782.99 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,14219779,"71,345.59 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,14164083,"69,354.00 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,14163980,"44,281.00 ",
Department of Health,NHS Rotherham CCG,30/09/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,14164327,"46,108.00 ",
Department of Health,NHS Rotherham CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,13957236,"844,443.00 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152659,"(39,389.02)",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152659,(152.92),
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152659,(24.46),
Department of Health,NHS Rotherham CCG,30/09/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152659,(911.25),
Department of Health,NHS Rotherham CCG,30/09/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152659,(965.25),
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,"7,258.58 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,"73,239.63 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,"5,127.16 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,"7,178.01 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,"(1,635.29)",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,"2,082.50 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,"2,677.08 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,914.83 ,
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,140.42 ,
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152660,"2,996.65 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152657,"(81,597.25)",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152657,(324.16),
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152657,(112.06),
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152657,(47.67),
Department of Health,NHS Rotherham CCG,30/09/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152657,"(6,702.50)",
Department of Health,NHS Rotherham CCG,30/09/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152657,"(6,756.76)",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152658,"2,155.83 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152658,"169,931.07 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152658,116.00 ,
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152658,"15,223.18 ",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152658,"(4,222.75)",
Department of Health,NHS Rotherham CCG,30/09/2016,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP,14152658,"3,278.11 ",
