Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Net Amount,AP Amount,Tax Code Description,Purchase invoice number,URL
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-CQUIN,URGENT CARE,BEDFORD HOSPITAL NHS TRUST,30051579,"1,365.91","1,365.91",OUTSIDE SCOPE,I0174803,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/8195e9ba-5370-5885-a24b-45a0d60f4795
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,MATERNITY SERVICES,BEDFORD HOSPITAL NHS TRUST,30051579,"16,978.76","16,978.76",OUTSIDE SCOPE,I0174803,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/8195e9ba-5370-5885-a24b-45a0d60f4795
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,BEDFORD HOSPITAL NHS TRUST,30051579,"103,592.99","103,592.99",OUTSIDE SCOPE,I0174803,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/8195e9ba-5370-5885-a24b-45a0d60f4795
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec NHS Trust-Contract Baseline,URGENT CARE,BEDFORD HOSPITAL NHS TRUST,30051579,"110,173.67","110,173.67",OUTSIDE SCOPE,I0174803,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/8195e9ba-5370-5885-a24b-45a0d60f4795
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,30051586,130,130,OUTSIDE SCOPE,IC0038822,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/d99e5b55-e179-5880-8570-1049a58f3851
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,30051586,"25,048.00","25,048.00",OUTSIDE SCOPE,IC0038822,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/d99e5b55-e179-5880-8570-1049a58f3851
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,MATERNITY SERVICES,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,73.27,73.27,EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,PLANNED CARE,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,"5,296.99","5,296.99",EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-CQUIN,URGENT CARE,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,"1,978.74","1,978.74",EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
Department of Health,NHS Milton Keynes CCG,31/12/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,MATERNITY SERVICES,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30051676,"6,210.44","6,210.44",EXEMPT,8312197,https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/bab2f278-7b7d-527a-a243-6cabcef433e4
