Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/04/2018,Computer Software/License,PRC DELEGATED CO-COMMISSIONING,ACS BUSINESS SUPPLIES,21812023,"35,149.46"
Department of Health,NHS Rotherham CCG,31/03/2018,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,21556511,"158,321.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,CAIREACH LTD,21605391,"-55,200.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,CAIREACH LTD,21769493,"79,300.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,21786732,"56,509.05"
Department of Health,NHS Rotherham CCG,30/04/2018,Computer Hardware Purch,NON RECURRENT PROGRAMMES,CHANNEL 3 CONSULTING LTD,21579826,"72,000.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CHILDRENS TRUST (THE),21691619,"31,500.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CHILDRENS TRUST (THE),21691620,"31,500.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CHILDRENS TRUST (THE),21691622,"33,000.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,21786725,"52,570.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Computer Software/License,PRC DELEGATED CO-COMMISSIONING,CONNECT HEALTHCARE ROTHERHAM LTD,21568266,"27,364.00"
Department of Health,NHS Rotherham CCG,30/04/2018,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,21786719,"112,000.00"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Software/License,PRIMARY CARE IT,DAISY COMMUNICATIONS LTD,21514757,"75,946.55"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,21291545,"32,153.40"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,21291547,"30,867.26"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,21291548,"32,153.40"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Software/License,PRC DELEGATED CO-COMMISSIONING,DELL CORPORATION LTD,21514627,"136,939.20"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Software/License,PRC DELEGATED CO-COMMISSIONING,DELL CORPORATION LTD,21514629,"102,720.00"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Software/License,PRC DELEGATED CO-COMMISSIONING,DELL CORPORATION LTD,21514630,"87,312.00"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Software/License,PRC DELEGATED CO-COMMISSIONING,DELL CORPORATION LTD,21514632,"136,939.20"
Department of Health,NHS Rotherham CCG,31/03/2018,Computer Software/License,PRC DELEGATED CO-COMMISSIONING,DELL CORPORATION LTD,21514633,"117,263.16"
Department of Health,NHS Rotherham CCG,31/03/2018,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,DERBYSHIRE COUNTY COUNCIL,21507683,"26,695.06"
Department of Health,NHS Rotherham CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,21556493,"-64,942.00"
Department of Health,NHS Rotherham CCG,31/03/2018,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,21556520,"834,804.00"
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655257,"37,015.68"
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655257,"1,051.90"
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655257,"2,833.33"
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655257,"3,091.81"
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655254,-70.69
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655254,-331.39
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655254,"-4,521.92"
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655254,-428.4
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655254,-48.73
Department of Health,NHS Rotherham CCG,30/04/2018,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655254,"-12,071.10"
Department of Health,NHS Rotherham CCG,30/04/2018,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655254,"-12,096.90"
Department of Health,NHS Rotherham CCG,30/04/2018,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,21655255,"96,094.33"
