Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,19562866,"110,213.00 "
Department of Health,NHS Rotherham CCG,30/11/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,19604196,"26,541.85 "
Department of Health,NHS Rotherham CCG,30/11/2017,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,CARE FREE RECOVERY LTD,19562883,"38,101.40 "
Department of Health,NHS Rotherham CCG,30/11/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,19604227,"41,051.32 "
Department of Health,NHS Rotherham CCG,30/11/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,19604257,"46,830.00 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Practice Transformational Support,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,19848705,"25,500.00 "
Department of Health,NHS Rotherham CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,19480156,"(27,013.00)"
Department of Health,NHS Rotherham CCG,30/11/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,19504788,"835,717.00 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592441,"35,824.38 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592441,"3,629.25 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592441,74.95 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592441,"2,677.08 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592441,"1,008.30 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592441,106.20 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592441,34.13 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592441,"3,300.53 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592439,"94,125.02 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592439,"1,077.92 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592439,"7,331.33 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592439,428.40 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592439,"9,545.93 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592443,"91,981.98 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592443,"1,020.33 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592443,5.39 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592443,"3,275.00 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592443,"5,345.83 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592443,330.40 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592443,"9,058.03 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820218,"44,124.74 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820218,185.09 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820218,"2,991.67 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820218,285.00 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820218,"5,826.52 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592449,"109,006.52 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592449,"1,348.67 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592449,193.99 
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592449,"1,777.14 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19592449,"11,408.17 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820219,(328.37)
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820219,(173.06)
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820219,(48.33)
Department of Health,NHS Rotherham CCG,30/11/2017,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820219,"(11,934.00)"
Department of Health,NHS Rotherham CCG,30/11/2017,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820219,(938.36)
Department of Health,NHS Rotherham CCG,30/11/2017,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820219,"(7,752.49)"
Department of Health,NHS Rotherham CCG,30/11/2017,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820219,"(8,500.55)"
Department of Health,NHS Rotherham CCG,30/11/2017,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19820219,"(12,100.86)"
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19839764,"84,215.80 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19839764,"3,858.30 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19839764,"6,994.79 "
Department of Health,NHS Rotherham CCG,30/11/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,19839764,"1,916.00 "
