Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,9742964,"791,235.00",
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,9742971,"25,451.77",
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9743147,"573,360.00",
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,9752521,"159,866.00",
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9752549,"101,521.00",
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9752643,"1,654,418.00",654400165
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9752648,"165,833.00",654400165
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,9752651,"57,654.00",
Department of Health,NHS Rotherham CCG,30/11/2015,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,9752666,"162,816.75",
Department of Health,NHS Rotherham CCG,30/11/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,9752666,"158,352.50",
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9779029,"103,762.01",
Department of Health,NHS Rotherham CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,9779049,"89,178.50",
