Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Purchase invoice number
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,7634422,"158,321.00",1736
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Voluntary Sector,ACUTE CHILDRENS SERVICES,AGE UK ROTHERHAM,7755904,"40,000.00",1688
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7594351,"89,188.00",6004101
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,7717138,"33,345.33",39109
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,7457203,"311,481.33",120051733
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,7528799,"83,757.86",120051844
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Commercial Sector,NON RECURRENT PROGRAMMES,CARE UK CLINICAL SERVICES LTD,7697374,"35,517.33",120052562
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,7717192,"31,663.25",120052235
Department of Health,NHS Rotherham CCG,30/04/2015,Computer Hardware Purch,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,7416834,"30,415.14",7402194568
Department of Health,NHS Rotherham CCG,30/04/2015,Computer Hardware Purch,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,7418427,"23,344.74",7402195810
Department of Health,NHS Rotherham CCG,30/04/2015,Computer Hardware Purch,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,7430773,"48,278.00",7402194556
Department of Health,NHS Rotherham CCG,30/04/2015,Computer Hardware Purch,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,7430775,"48,278.00",7402194697
Department of Health,NHS Rotherham CCG,30/04/2015,Computer Hardware Purch,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,7430778,"48,278.00",7402194566
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,7457187,"867,245.00",82133518
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,7457210,"43,173.00",82133702
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,7717243,"40,840.00",82133990
Department of Health,NHS Rotherham CCG,30/04/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP SURGERY,7696836,"-27,908.43",ROT000004412
Department of Health,NHS Rotherham CCG,30/04/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP SURGERY,7696837,"1,159.20",ROT000004413
Department of Health,NHS Rotherham CCG,30/04/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP SURGERY,7696837,"56,603.61",ROT000004413
Department of Health,NHS Rotherham CCG,30/04/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP SURGERY,7696839,"40,481.09",ROT000004415
Department of Health,NHS Rotherham CCG,30/04/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP SURGERY,7696839,764.75,ROT000004415
Department of Health,NHS Rotherham CCG,30/04/2015,External Consultancy Fees,ADMINISTRATION & BUSINESS SUPPORT,INSIGHT DIRECT (UK) LTD,7501870,"17,985.00",2289850
Department of Health,NHS Rotherham CCG,30/04/2015,Computer Network Costs,NON RECURRENT PROGRAMMES,INSIGHT DIRECT (UK) LTD,7501870,"14,709.60",2289850
Department of Health,NHS Rotherham CCG,30/04/2015,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,J A HAND,7717281,"87,848.93",INVRETRO1308
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,7457183,"36,778.00",1410015386
