Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,30/04/2017,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,1ST CALL COM LTD,16811639,"69,480.00"
Department of Health,NHS Rotherham CCG,30/04/2017,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK ROTHERHAM,16811653,"158,321.00"
Department of Health,NHS Rotherham CCG,30/04/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,16841706,"110,213.00"
Department of Health,NHS Rotherham CCG,30/04/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,16787371,"28,728.56"
Department of Health,NHS Rotherham CCG,30/04/2017,Clinical&Medical- Non NHS LES,LOCAL ENHANCED SERVICES,CONNECT HEALTHCARE ROTHERHAM LTD,16894316,"123,000.00"
Department of Health,NHS Rotherham CCG,31/03/2017,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,DERBYSHIRE COUNTY COUNCIL,16735778,"26,622.06"
Department of Health,NHS Rotherham CCG,30/04/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,16756057,"-143,771.00"
Department of Health,NHS Rotherham CCG,30/04/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,16756061,"143,771.00"
Department of Health,NHS Rotherham CCG,30/04/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,16767260,"-143,771.00"
Department of Health,NHS Rotherham CCG,30/04/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,16777542,"837,676.00"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802641,"33,904.50"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802641,"3,629.25"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802641,"2,677.08"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802641,"1,008.30"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802641,534.23
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802641,"3,105.81"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802639,"88,571.75"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802639,"1,077.92"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802639,"6,926.67"
Department of Health,NHS Rotherham CCG,30/04/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,16802639,"2,141.55"
