Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number, Amount ,VAT registration number
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,812524,"31,923.74",
Department of Health,NHS Rotherham CCG,31/08/2013,Healthcare Srv Rec CCG,AMBULANCE SERVICES,NHS GREATER HUDDERSFIELD CCG,812821,"123,558.49",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,812848,"103,761.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,812855,"156,403.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,846052,"898,983.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Audit Fees: Statutory,ADMINISTRATION & BUSINESS SUPPORT,KPMG LLP,846059,"49,800.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,846075,"532,851.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,846079,"111,058.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,867393,"2,258,766.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH YORKSHIRE AND BASSETLAW CSU,898980,"163,113.55",
Department of Health,NHS Rotherham CCG,31/08/2013,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS SOUTH YORKSHIRE AND BASSETLAW CSU,898980,"13,500.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,908727,"213,934.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,908745,"151,033.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,908758,"806,324.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,908768,"-305,617.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Computer Network Costs,ADMINISTRATION & BUSINESS SUPPORT,ROTHERHAM NHS FOUNDATION TRUST,930294,"35,345.01",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,1008130,"10,432,250.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,1008133,"2,222,409.00",
Department of Health,NHS Rotherham CCG,31/08/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1017894,"-28,315.54",
Department of Health,NHS Rotherham CCG,31/08/2013,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1017894,"-1,129.60",
Department of Health,NHS Rotherham CCG,31/08/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1017895,"59,083.75",
Department of Health,NHS Rotherham CCG,31/08/2013,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1017895,"1,129.60",
Department of Health,NHS Rotherham CCG,31/08/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1017897,"37,603.92",
Department of Health,NHS Rotherham CCG,31/08/2013,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,1017897,400.35,
Department of Health,NHS Rotherham CCG,31/08/2013,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,1021969,"33,713.89",
Department of Health,NHS Rotherham CCG,31/08/2013,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1031099,"28,361.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Clinical&Medical-Othe Public Sector,PROGRAMME PROJECTS,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1031106,"35,130.00",
Department of Health,NHS Rotherham CCG,31/08/2013,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1031107,"1,653,942.50",
Department of Health,NHS Rotherham CCG,31/08/2013,Clinical&Medical-Othe Public Sector,PROGRAMME PROJECTS,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1031113,"30,000.00",
