Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/08/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,18268294,"110,213.00 "
Department of Health,NHS Rotherham CCG,31/08/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,18265927,"26,541.85 "
Department of Health,NHS Rotherham CCG,31/08/2017,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,CANTER LEVIN & BERG SOLICITORS,18388542,"81,105.40 "
Department of Health,NHS Rotherham CCG,31/08/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,18380276,"41,051.32 "
Department of Health,NHS Rotherham CCG,31/08/2017,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,18519294,"33,496.02 "
Department of Health,NHS Rotherham CCG,31/08/2017,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,18380329,"46,830.00 "
Department of Health,NHS Rotherham CCG,31/08/2017,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,18631012,"55,989.00 "
Department of Health,NHS Rotherham CCG,31/08/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CROWN CARE (VI) LTD,18427521,"8,863.00 "
Department of Health,NHS Rotherham CCG,31/08/2017,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,CROWN CARE (VI) LTD,18427521,"19,753.61 "
Department of Health,NHS Rotherham CCG,31/08/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,18265913,"835,717.00 "
Department of Health,NHS Rotherham CCG,31/08/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18351818,"35,824.38 "
Department of Health,NHS Rotherham CCG,31/08/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18351818,"3,629.25 "
Department of Health,NHS Rotherham CCG,31/08/2017,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18351818,"2,677.08 "
Department of Health,NHS Rotherham CCG,31/08/2017,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,18351818,"1,008.30 "
