Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8862069,"101,521.00",
Department of Health,NHS Rotherham CCG,31/08/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,8955227,"33,345.33",
Department of Health,NHS Rotherham CCG,31/08/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,9067479,"33,345.33",
Department of Health,NHS Rotherham CCG,31/08/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,8829861,"158,352.50",
Department of Health,NHS Rotherham CCG,31/08/2015,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,8829861,"162,816.75",
Department of Health,NHS Rotherham CCG,31/08/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,8892232,"31,663.25",
Department of Health,NHS Rotherham CCG,31/08/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,8923254,"76,713.91",
Department of Health,NHS Rotherham CCG,31/08/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,8907036,"25,690.00",
Department of Health,NHS Rotherham CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,8794356,"793,202.00",
Department of Health,NHS Rotherham CCG,31/08/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,9018637,"-31,377.20",
Department of Health,NHS Rotherham CCG,31/08/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,9018638,"58,730.80",
Department of Health,NHS Rotherham CCG,31/08/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,9018638,"1,262.80",
Department of Health,NHS Rotherham CCG,31/08/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,9018640,"39,832.51",
Department of Health,NHS Rotherham CCG,31/08/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,9018640,943,
Department of Health,NHS Rotherham CCG,31/08/2015,Prescribing,MEDICINES MANAGEMENT - CLINICAL,FRESENIUS KABI LTD,8971290,"26,734.80",
Department of Health,NHS Rotherham CCG,31/08/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,8793378,"25,451.77",
Department of Health,NHS Rotherham CCG,31/08/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,8794389,"25,451.77",
Department of Health,NHS Rotherham CCG,31/08/2015,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,8829788,"100,982.00",
Department of Health,NHS Rotherham CCG,31/08/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS YORKSHIRE AND HUMBER CS,8829788,"40,841.00",
Department of Health,NHS Rotherham CCG,31/08/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,8906996,"233,854.50",
