Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Rotherham CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,13770805,"109,945.00",,6008991
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,13650297,"34,684.68",,61477
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,13727086,"44,673.25",,100021408
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,13746854,"164,953.58",,100021462
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,13746854,"160,782.99",,100021462
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,13646948,"45,539.00",,MAN70105
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,13892168,"46,108.00",,MAN70176
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,CROSSROADS CARE ROTHERHAM,13746641,"39,522.00",,EABJD22
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,13805493,"55,864.00",,EABJD21
Department of Health,NHS Rotherham CCG,31/08/2016,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,13805524,"58,250.00",,EABJD23
Department of Health,NHS Rotherham CCG,31/08/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,13957236,"844,443.00",,82148353
Department of Health,NHS Rotherham CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,13571226,"844,443.00",,82147347
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763766,"-38,766.26",,ROT000006779
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763766,-152.92,,ROT000006779
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763766,-24.46,,ROT000006779
Department of Health,NHS Rotherham CCG,31/08/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763766,-911.25,,ROT000006779
Department of Health,NHS Rotherham CCG,31/08/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763766,-965.25,,ROT000006779
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763767,"7,258.58",,ROT000006780
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763767,"73,239.63",,ROT000006780
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763767,"-1,667.36",,ROT000006780
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763767,"2,677.08",,ROT000006780
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763767,914.83,,ROT000006780
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763767,"2,996.65",,ROT000006780
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763764,"-81,597.25",,ROT000006777
Department of Health,NHS Rotherham CCG,31/08/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM GP,13763764,-324.16,,ROT000006777
