Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/12/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,2130340,"-57,972.60"
Department of Health,NHS Rotherham CCG,31/12/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,2130336,"-46,579.80"
Department of Health,NHS Rotherham CCG,31/12/2013,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1958871,"27,840.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Clinical&Medical-Othe Public Sector,ACUTE CHILDRENS SERVICES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1887203,"28,361.00"
Department of Health,NHS Rotherham CCG,31/12/2013,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SPRINGCLIFFE SURGERY SHEFFIELD,2130397,"31,449.91"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,2151907,"31,923.74"
Department of Health,NHS Rotherham CCG,31/12/2013,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,1990916,"33,713.89"
Department of Health,NHS Rotherham CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,2130359,"35,032.51"
Department of Health,NHS Rotherham CCG,31/12/2013,Clinical&Medical-Othe Public Sector,ACUTE CHILDRENS SERVICES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1902015,"35,130.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1991089,"38,756.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1902024,"55,777.00"
Department of Health,NHS Rotherham CCG,31/12/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,2130338,"75,447.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,2107241,"82,177.14"
Department of Health,NHS Rotherham CCG,31/12/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,2130342,"100,686.62"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1901978,"103,761.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,1927106,"111,058.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,1901956,"156,403.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,2133669,"156,403.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,1991106,"161,265.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH YORKSHIRE AND BASSETLAW CSU,1918139,"163,113.55"
Department of Health,NHS Rotherham CCG,31/12/2013,Service Charge,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,2120317,"164,570.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1976019,"190,689.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,1976032,"250,000.00"
Department of Health,NHS Rotherham CCG,31/12/2013,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,2107247,"270,350.13"
Department of Health,NHS Rotherham CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,1990961,"530,097.00"
