Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Rotherham CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6081183,"88,107.00",,6002454
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,5911050,"79,910.26",594959072,120044142
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,6194301,"153,128.53",594959072,120045876
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6194301,"158,352.80",594959072,120045876
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,Winter Resilience,CARE UK CLINICAL SERVICES LTD,6194495,"218,500.00",594959072,120046449
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,6213273,"11,693.05",594959072,120041483
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6213273,"27,175.80",594959072,120041483
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,6213304,"16,746.58",594959072,120041486
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6213304,"19,718.36",594959072,120041486
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6213317,"29,995.45",594959072,120043313
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,6213317,983.63,594959072,120043313
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,6213325,"1,225.25",594959072,120044713
Department of Health,NHS Rotherham CCG,31/12/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6213325,"23,854.58",594959072,120044713
Department of Health,NHS Rotherham CCG,31/12/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,5911342,"867,245.00",,82129530
Department of Health,NHS Rotherham CCG,31/12/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,6240143,"-45,208.46",,ROT000003672
Department of Health,NHS Rotherham CCG,31/12/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,6240144,"80,161.53",,ROT000003673
Department of Health,NHS Rotherham CCG,31/12/2014,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,6240144,"1,320.20",,ROT000003673
Department of Health,NHS Rotherham CCG,31/12/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR DOUGLAS & PARTNERS,6240145,"-47,296.54",,ROT000003674
Department of Health,NHS Rotherham CCG,31/12/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR DOUGLAS & PARTNERS,6240146,"71,634.93",,ROT000003675
Department of Health,NHS Rotherham CCG,31/12/2014,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,DR DOUGLAS & PARTNERS,6240146,813.05,,ROT000003675
Department of Health,NHS Rotherham CCG,31/12/2014,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR MM BROWN & PARTNERS,6240152,"35,067.07",878533770,ROT000003682
Department of Health,NHS Rotherham CCG,31/12/2014,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,DR MM BROWN & PARTNERS,6240152,450.8,878533770,ROT000003682
Department of Health,NHS Rotherham CCG,31/12/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,GLADES HEALTH CARE LTD,5911577,"95,307.85",,2070
