Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,10060752,"101,521.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,10161817,"33,345.33",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,10161781,"31,663.25",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,10363070,"162,816.75",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,10363070,"158,352.50",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,10363085,"72,243.91",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,10161889,"25,690.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,10076065,"792,219.00",
Department of Health,NHS Rotherham CCG,31/12/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,10326157,"-47,228.20",
Department of Health,NHS Rotherham CCG,31/12/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,10326158,"81,159.19",
Department of Health,NHS Rotherham CCG,31/12/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,DR D T SAY & PARTNERS,10326158,"1,205.40",
Department of Health,NHS Rotherham CCG,31/12/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR DOUGLAS & PARTNERS,10326159,"-46,980.36",
Department of Health,NHS Rotherham CCG,31/12/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR DOUGLAS & PARTNERS,10326160,"65,460.80",
Department of Health,NHS Rotherham CCG,31/12/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,DR DOUGLAS & PARTNERS,10326160,811.8,
Department of Health,NHS Rotherham CCG,31/12/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,DR MM BROWN & PARTNERS,10326165,"34,716.39",878533770
Department of Health,NHS Rotherham CCG,31/12/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,DR MM BROWN & PARTNERS,10326165,459.2,878533770
Department of Health,NHS Rotherham CCG,31/12/2015,Prescribing,MEDICINES MANAGEMENT - CLINICAL,FRESENIUS KABI LTD,10254337,"27,331.10",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,10076044,"25,451.77",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,LONGLEY HEALTH CARE LTD,10293033,"-50,324.56",
Department of Health,NHS Rotherham CCG,31/12/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS YORKSHIRE AND HUMBER CS,10123141,"141,823.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,10161833,"2,262,041.91",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,10161845,"233,854.50",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,10161852,"73,246.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Prescribing,PRESCRIBING,ROTHERHAM NHS FOUNDATION TRUST,10109312,"-141,498.43",
Department of Health,NHS Rotherham CCG,31/12/2015,Prescribing,PRESCRIBING,ROTHERHAM NHS FOUNDATION TRUST,10123103,"25,634.09",
Department of Health,NHS Rotherham CCG,31/12/2015,Oth Travel Costs-Training Trav&Subs,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,10161567,"2,162.69",
Department of Health,NHS Rotherham CCG,31/12/2015,Seconded-Basic Sal-Staff fm oth org,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,10161567,"92,896.90",
Department of Health,NHS Rotherham CCG,31/12/2015,Stationery,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,10161567,"1,292.09",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,10340512,"11,291,864.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,10340512,"2,284,752.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,ROTHERHAM NHS FOUNDATION TRUST,10340512,"25,000.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,NCAS/OATS,SAMS LTD,10045707,"-94,635.84",
Department of Health,NHS Rotherham CCG,31/12/2015,Clinical&Medical-Commercial Sector,NCAS/OATS,SAMS LTD,10060282,"94,635.84",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,10060343,"159,866.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,10060361,"1,654,418.00",654400165
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,10060366,"165,832.00",654400165
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,10123129,"573,360.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,10123135,"103,762.01",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,10273463,"-75,156.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,10292834,"39,185.00",
Department of Health,NHS Rotherham CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,10292877,"39,185.00",
