Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,15361078,"111,270.00 "
Department of Health,NHS Rotherham CCG,30/11/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,15166583,"34,684.68 "
Department of Health,NHS Rotherham CCG,31/12/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,15279789,"44,673.25 "
Department of Health,NHS Rotherham CCG,31/12/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,15321682,"164,953.58 "
Department of Health,NHS Rotherham CCG,31/12/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,15321682,"160,782.99 "
Department of Health,NHS Rotherham CCG,31/12/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,15519581,"33,976.40 "
Department of Health,NHS Rotherham CCG,31/12/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,15519585,"25,128.63 "
Department of Health,NHS Rotherham CCG,31/12/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,15279811,"46,108.00 "
Department of Health,NHS Rotherham CCG,31/12/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,15246949,"844,443.00 "
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290756,"(39,685.26)"
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290756,(152.36)
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290756,(24.46)
Department of Health,NHS Rotherham CCG,31/12/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290756,(911.25)
Department of Health,NHS Rotherham CCG,31/12/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290756,(965.25)
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,"7,258.58 "
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,"73,239.63 "
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,116.00 
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS DES UNPLANNED ADMISSIONS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,"4,155.69 "
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,"(1,620.04)"
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,"2,125.52 "
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,"2,677.08 "
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,914.83 
Department of Health,NHS Rotherham CCG,31/12/2016,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,15290757,496.10 
