Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Voluntary Sector,ACUTE CHILDRENS SERVICES,ALZHEIMERS SOCIETY,6890301,"36,916.00",GB974843571
Department of Health,NHS Rotherham CCG,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6615104,"-87,561.08",
Department of Health,NHS Rotherham CCG,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6744648,"88,107.00",
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,6671165,"153,128.83",594959072
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6671165,"158,352.50",594959072
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,6713217,"34,252.21",594959072
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6762392,"62,389.28",594959072
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,6762473,"153,128.83",594959072
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6762473,"158,352.50",594959072
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,6869770,"34,252.21",594959072
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,6653374,"90,000.00",
Department of Health,NHS Rotherham CCG,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,6615036,"-194,705.00",
Department of Health,NHS Rotherham CCG,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,6671158,"867,245.00",
Department of Health,NHS Rotherham CCG,28/02/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6889851,"-33,238.06",
Department of Health,NHS Rotherham CCG,28/02/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6889853,"62,170.01",
Department of Health,NHS Rotherham CCG,28/02/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6889853,"1,175.30",
Department of Health,NHS Rotherham CCG,28/02/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6889857,"34,920.72",
Department of Health,NHS Rotherham CCG,28/02/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6889857,853.3,
Department of Health,NHS Rotherham CCG,28/02/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,6634190,"36,778.00",
Department of Health,NHS Rotherham CCG,28/02/2015,Clinical&Medical-Commercial Sector,PATIENT TRANSPORT,NHS SHEFFIELD CCG,6744737,"87,536.00",
Department of Health,NHS Rotherham CCG,28/02/2015,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,6744635,"124,985.25",
Department of Health,NHS Rotherham CCG,28/02/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS YORKSHIRE AND HUMBER CS,6744635,"40,841.00",
Department of Health,NHS Rotherham CCG,28/02/2015,Charges from CSU,PRIMARY CARE IT,NHS YORKSHIRE AND HUMBER CS,6744643,"54,238.00",
Department of Health,NHS Rotherham CCG,28/02/2015,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,NORTON PESKETT SOLICITORS,6744801,"45,690.18",
Department of Health,NHS Rotherham CCG,28/02/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,6727737,"58,102.76",
Department of Health,NHS Rotherham CCG,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,6744785,"2,198,415.00",
