Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,2498014,"103,761.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,2670486,"27,916.67"
Department of Health,NHS Rotherham CCG,28/02/2014,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,2686840,"33,713.89"
Department of Health,NHS Rotherham CCG,28/02/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,2686844,"88,949.11"
Department of Health,NHS Rotherham CCG,28/02/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,2686842,"279,402.39"
Department of Health,NHS Rotherham CCG,28/02/2014,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,2635814,"282,265.86"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2551494,"898,983.00"
Department of Health,NHS Rotherham CCG,28/02/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICT,2737327,"-37,429.32"
Department of Health,NHS Rotherham CCG,28/02/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICT,2737328,"67,156.25"
Department of Health,NHS Rotherham CCG,28/02/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICT,2737332,"36,977.42"
Department of Health,NHS Rotherham CCG,28/02/2014,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS WEST YORKSHIRE CSU,2551515,"154,129.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM CROSSROADS CAS,2508905,"45,000.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,2651858,"-247,081.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,2550770,"65,066.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,2686851,"120,568.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,2651820,"247,081.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,2568080,"2,258,766.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,2498111,"33,029.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Clinical&Medical-Othe Public Sector,FUNDED NURSING CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,2775325,"37,458.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,2509082,"220,000.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,ROTHERHAM NHS FOUNDATION TRUST,2551068,"34,529.27"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,ROTHERHAM NHS FOUNDATION TRUST,2686855,"95,593.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,2775632,"2,229,931.67"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,2775639,"11,586,740.95"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,2635834,"-28,381.83"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2551532,"38,755.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2568079,"161,264.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2551525,"1,550,206.00"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2686858,"75,333.32"
Department of Health,NHS Rotherham CCG,28/02/2014,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2568070,"111,058.00"
