Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,10816641,"101,521.00",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,10765445,"33,345.33",
Department of Health,NHS Rotherham CCG,29/02/2016,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,BRM SOLICITORS,10991726,"37,642.12",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,10795876,"29,717.71",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,10846712,"162,816.75",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,10846712,"158,352.50",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,10892744,"72,968.47",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,11024907,"31,663.25",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,11025399,"25,690.00",
Department of Health,NHS Rotherham CCG,29/02/2016,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,11111360,"52,498.80",635823528
Department of Health,NHS Rotherham CCG,29/02/2016,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,11111361,"52,498.80",635823528
Department of Health,NHS Rotherham CCG,29/02/2016,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,11111362,"31,499.28",635823528
Department of Health,NHS Rotherham CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,10795969,"792,219.00",
Department of Health,NHS Rotherham CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,10975331,"85,196.00",
Department of Health,NHS Rotherham CCG,29/02/2016,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM GP,11055227,"-32,732.12",
Department of Health,NHS Rotherham CCG,29/02/2016,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM GP,11055230,"62,251.17",
Department of Health,NHS Rotherham CCG,29/02/2016,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM GP,11055230,"1,246.40",
Department of Health,NHS Rotherham CCG,29/02/2016,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM GP,11055234,852.8,
Department of Health,NHS Rotherham CCG,29/02/2016,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM GP,11055234,"36,377.35",
Department of Health,NHS Rotherham CCG,29/02/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,10795868,"25,451.77",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,LIGHTHOUSE HEALTHCARE,11008429,"37,474.35",
Department of Health,NHS Rotherham CCG,29/02/2016,Voids and Subsidies,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,10871501,"31,348.56",
Department of Health,NHS Rotherham CCG,29/02/2016,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,10796328,"141,823.00",
Department of Health,NHS Rotherham CCG,29/02/2016,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,10975310,"-47,642.00",
Department of Health,NHS Rotherham CCG,29/02/2016,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,11058442,"35,208.00",
Department of Health,NHS Rotherham CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,10871464,"2,262,041.91",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,10871468,"233,854.50",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,10909936,"30,225.00",
Department of Health,NHS Rotherham CCG,29/02/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,11044584,"43,000.00",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,10816326,"32,925.83",
Department of Health,NHS Rotherham CCG,29/02/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,10816334,"46,556.90",
Department of Health,NHS Rotherham CCG,29/02/2016,Cont Care-Physical Disab (65+),CHC ADULT JOINT FUNDED,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,11044489,"33,577.15",
Department of Health,NHS Rotherham CCG,29/02/2016,Clinical&Medical-Serv Recd-F Trsts,WHEELCHAIR SERVICE,ROTHERHAM NHS FOUNDATION TRUST,10765427,"39,042.78",
Department of Health,NHS Rotherham CCG,29/02/2016,Oth Travel Costs-Training Trav&Subs,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,10815287,"1,149.38",
