Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6385143,"88,107.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Clinical&Medical-Clinical Other,COMMISSIONING - NON ACUTE,CARE SHEFFIELD,6541287,"29,041.00",814164548
Department of Health,NHS Rotherham CCG,31/01/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6364931,"77,359.50",594959072
Department of Health,NHS Rotherham CCG,31/01/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,6364934,"34,252.21",594959072
Department of Health,NHS Rotherham CCG,31/01/2015,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,6385166,"153,128.83",594959072
Department of Health,NHS Rotherham CCG,31/01/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,6385166,"158,352.50",594959072
Department of Health,NHS Rotherham CCG,31/01/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,6404021,"34,252.21",594959072
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,6300194,"867,245.00",
Department of Health,NHS Rotherham CCG,31/01/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6554455,"-32,524.25",
Department of Health,NHS Rotherham CCG,31/01/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6554456,"1,110.90",
Department of Health,NHS Rotherham CCG,31/01/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6554456,"63,066.49",
Department of Health,NHS Rotherham CCG,31/01/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6554461,"48,745.56",
Department of Health,NHS Rotherham CCG,31/01/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6554461,732.55,
Department of Health,NHS Rotherham CCG,31/01/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6554473,"26,076.98",878533770
Department of Health,NHS Rotherham CCG,31/01/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,6554473,555.45,878533770
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,6300135,"36,778.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,6385182,"-30,921.13",
Department of Health,NHS Rotherham CCG,31/01/2015,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS NORTH YORKSHIRE AND HUMBER CSU,6385158,"124,985.25",
Department of Health,NHS Rotherham CCG,31/01/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS NORTH YORKSHIRE AND HUMBER CSU,6385158,"40,841.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Charges from CSU,PRIMARY CARE IT,NHS NORTH YORKSHIRE AND HUMBER CSU,6385160,"54,238.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,6385190,"2,198,415.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,6385195,"254,549.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Clinical&Medical-Othe Public Sector,FUNDED NURSING CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,6278750,"510,108.50",
Department of Health,NHS Rotherham CCG,31/01/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,COMMUNITY SERVICES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,6540779,"82,831.20",
Department of Health,NHS Rotherham CCG,31/01/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,COMMUNITY SERVICES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,6541570,"-82,831.20",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,ROTHERHAM NHS FOUNDATION TRUST,6385169,"213,333.33",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,6385171,"349,359.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Computer Network Costs,ADMINISTRATION & BUSINESS SUPPORT,ROTHERHAM NHS FOUNDATION TRUST,6485055,"44,497.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,6586520,"750,000.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,6586525,"10,294,496.42",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,6586525,"2,422,501.76",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,ROTHERHAM NHS FOUNDATION TRUST,6586525,"345,346.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,6300188,"154,477.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,6300388,"1,544,988.00",654400165
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,6300678,"188,404.00",654400165
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,6364952,"38,625.00",654400165
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,6364952,934,654400165
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,6364954,"51,711.00",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,6364972,"535,440.40",
Department of Health,NHS Rotherham CCG,31/01/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,6385164,"103,596.50",
