Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,VAT registration number
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec NHS CCG-Non Contract,NCAS/OATS,UNITED HEALTH UK,551589,"126,203.86",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,551654,"31,923.74",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,589940,"156,403.00",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,589956,"103,926.00",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,589962,"898,983.00",
Department of Health,NHS Rotherham CCG,31/07/2013,C&M-PMS LES LTC Case Management,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,609758,"26,527.45",
Department of Health,NHS Rotherham CCG,31/07/2013,Healthcare Srv Rec CCG,AMBULANCE SERVICES,NHS GREATER HUDDERSFIELD CCG,616842,"123,558.49",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,616877,"1,900,000.00",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,616893,"2,258,766.00",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,616907,"532,851.00",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,616926,"111,058.00",
Department of Health,NHS Rotherham CCG,31/07/2013,Computer Network Costs,ADMINISTRATION & BUSINESS SUPPORT,ROTHERHAM NHS FOUNDATION TRUST,629709,"35,345.01",
Department of Health,NHS Rotherham CCG,31/07/2013,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH YORKSHIRE AND BASSETLAW CSU,631463,"163,113.55",
Department of Health,NHS Rotherham CCG,31/07/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,724674,"80,227.06",
Department of Health,NHS Rotherham CCG,31/07/2013,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,724680,"151,469.94",
Department of Health,NHS Rotherham CCG,31/07/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,724680,"123,252.37",
Department of Health,NHS Rotherham CCG,31/07/2013,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,736240,"33,713.89",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,736255,"2,222,409.00",
Department of Health,NHS Rotherham CCG,31/07/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,736258,"10,432,250.00",
Department of Health,NHS Rotherham CCG,31/07/2013,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,754373,"46,176.26",
Department of Health,NHS Rotherham CCG,31/07/2013,Rent,COMMUNITY SERVICES,NHS PROPERTY SERVICES LTD,754373,"205,813.84",
Department of Health,NHS Rotherham CCG,31/07/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,766087,"-30,317.14",
Department of Health,NHS Rotherham CCG,31/07/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,766088,"57,351.29",
Department of Health,NHS Rotherham CCG,31/07/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,766090,"25,719.43",
Department of Health,NHS Rotherham CCG,31/07/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,790980,"78,512.69",
