Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Rotherham CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4145319,"103,871.00",,6000762
Department of Health,NHS Rotherham CCG,31/07/2014,Clinical&Medical-Commercial Sector,MENTAL HEALTH CONTRACTS,CAMBIAN HEALTHCARE LTD,4421137,"-48,743.00",,CR102949
Department of Health,NHS Rotherham CCG,31/07/2014,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,4340138,"34,252.21",594959072,120038309
Department of Health,NHS Rotherham CCG,31/07/2014,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,4121662,"79,082.32",594959072,120036440
Department of Health,NHS Rotherham CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,4210273,"-867,245.00",,82125014
Department of Health,NHS Rotherham CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,4208516,"867,245.00",,82124879
Department of Health,NHS Rotherham CCG,31/07/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,4210265,"867,245.00",,82125013
Department of Health,NHS Rotherham CCG,31/07/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,4432768,"-31,243.52",,ROT000002766
Department of Health,NHS Rotherham CCG,31/07/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,4432770,"58,543.54",,ROT000002767
Department of Health,NHS Rotherham CCG,31/07/2014,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,4432775,"34,843.53",,ROT000002769
Department of Health,NHS Rotherham CCG,31/07/2014,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,GLADES HEALTH CARE LTD,4186362,"40,683.80",,1891
