Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8536771,"138,521.00",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,8519944,"33,345.33",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,8492615,"321,169.25",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,8492672,"82,361.39",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,8519779,"34,862.38",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,8520631,"31,663.25",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,NON RECURRENT PROGRAMMES,CARE UK CLINICAL SERVICES LTD,8652293,"40,701.58",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,8520758,"25,690.00",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,8536851,"-25,690.00",
Department of Health,NHS Rotherham CCG,31/07/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CLAREMONT HOSPITAL,8551252,"25,690.00",
Department of Health,NHS Rotherham CCG,31/07/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,8465988,"793,202.00",
Department of Health,NHS Rotherham CCG,31/07/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,8731593,"-28,977.46",
Department of Health,NHS Rotherham CCG,31/07/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,8731594,"59,216.47",
Department of Health,NHS Rotherham CCG,31/07/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,8731594,"1,180.80",
Department of Health,NHS Rotherham CCG,31/07/2015,C&M-PMS NES Anti-coagulation Mntrng,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,8517334,"2,821.18",
