Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Rotherham CCG,31/07/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,13449126,"109,945.00"
Department of Health,NHS Rotherham CCG,31/07/2016,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,13360298,"164,953.58"
Department of Health,NHS Rotherham CCG,31/07/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,13360298,"160,782.99"
Department of Health,NHS Rotherham CCG,31/07/2016,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,13360307,"44,673.25"
Department of Health,NHS Rotherham CCG,31/07/2016,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,13618332,"78,835.58"
Department of Health,NHS Rotherham CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,13273487,"844,443.00"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400973,"-38,766.26"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400973,-152.92
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400973,-24.46
Department of Health,NHS Rotherham CCG,31/07/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400973,-911.25
Department of Health,NHS Rotherham CCG,31/07/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400973,-965.25
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400974,"7,258.58"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400974,"73,239.63"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400974,"-1,667.36"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400974,"2,677.08"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400974,914.83
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400974,"2,996.65"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400971,"-81,597.25"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400971,-324.16
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400971,-75.38
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400971,-47.67
Department of Health,NHS Rotherham CCG,31/07/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400971,"-6,702.50"
Department of Health,NHS Rotherham CCG,31/07/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400971,"-6,756.76"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400972,"2,864.40"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400972,"2,155.83"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400972,"169,218.86"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400972,"-4,222.75"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400972,"6,926.67"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400972,"8,640.75"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400975,"-81,472.16"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400975,-321.56
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400975,-70.62
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400975,-47.29
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400976,"2,040.58"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400976,"168,990.09"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400976,"-4,220.17"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400976,"3,275.00"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400976,"5,345.83"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400976,"8,235.17"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557246,"41,854.50"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557246,246.79
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557246,"2,875.00"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557246,165.62
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557246,"5,305.31"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400979,"-96,415.59"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400979,-379.58
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400979,-163.27
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400979,-55.82
Department of Health,NHS Rotherham CCG,31/07/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400979,"-5,040.00"
Department of Health,NHS Rotherham CCG,31/07/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400979,"-5,124.17"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400980,"2,697.42"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400980,"201,225.56"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400980,"-4,981.50"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400980,"52,047.00"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400980,"1,639.00"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400980,"10,357.11"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557248,"76,670.12"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557248,"5,144.40"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557248,"6,994.79"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557248,"1,714.65"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13557248,"8,892.62"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400977,"-85,554.59"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400977,-321.02
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400977,-7.13
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400977,-47.21
Department of Health,NHS Rotherham CCG,31/07/2016,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400977,"-6,220.10"
Department of Health,NHS Rotherham CCG,31/07/2016,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13400977,"-6,447.35"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13420119,"8,044.17"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13420119,"170,925.68"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Dispensing Quality Sch,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13420119,"6,292.62"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13420119,"-4,117.50"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13420119,"14,424.42"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13420119,"10,193.20"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,13561205,"-31,888.89"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,ROTHERHAM GP PRACTICE,13561205,"-1,369.20"
Department of Health,NHS Rotherham CCG,31/07/2016,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,13561206,"58,617.43"
