Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,VAT registration number
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,363459,"898,983.00",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,375696,"103,706.00",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,375704,"150,375.00",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,375721,"1,900,000.00",
Department of Health,NHS Rotherham CCG,30/06/2013,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,405067,"33,713.89",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,405069,"31,923.74",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,405074,"111,058.00",
Department of Health,NHS Rotherham CCG,30/06/2013,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS SOUTH YORKSHIRE AND BASSETLAW CSU,405076,"163,112.13",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,412443,"2,258,766.00",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,412448,"532,851.00",
Department of Health,NHS Rotherham CCG,30/06/2013,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,427630,"123,556.92",
Department of Health,NHS Rotherham CCG,30/06/2013,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,427630,"148,500.02",
Department of Health,NHS Rotherham CCG,30/06/2013,Rent,COMMUNITY SERVICES,NHS PROPERTY SERVICES LTD,479043,"205,813.84",
Department of Health,NHS Rotherham CCG,30/06/2013,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,479043,"46,176.26",
Department of Health,NHS Rotherham CCG,30/06/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,502145,"-29,448.87",
Department of Health,NHS Rotherham CCG,30/06/2013,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,502146,"57,995.14",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec NHS CCG-Non Contract,NCAS/OATS,UNITED HEALTH UK,513570,"-126,203.86",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,527262,"10,432,250.00",
Department of Health,NHS Rotherham CCG,30/06/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,527266,"2,222,409.00",
