Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8210471,"89,188.00",
Department of Health,NHS Rotherham CCG,30/06/2015,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,8170971,"33,345.33",
Department of Health,NHS Rotherham CCG,30/06/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,8402667,"73,663.55",
Department of Health,NHS Rotherham CCG,30/06/2015,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,8158043,"-203,456.40",
Department of Health,NHS Rotherham CCG,30/06/2015,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,8170926,"203,456.40",
Department of Health,NHS Rotherham CCG,30/06/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,8384504,"-29,695.51",
Department of Health,NHS Rotherham CCG,30/06/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,8384506,"57,225.66",
Department of Health,NHS Rotherham CCG,30/06/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,8384506,"1,202.70",
Department of Health,NHS Rotherham CCG,30/06/2015,Prescribing,MEDICINES MANAGEMENT - CLINICAL,FRESENIUS KABI LTD,8345388,"25,347.04",
Department of Health,NHS Rotherham CCG,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,8133721,"25,451.77",
Department of Health,NHS Rotherham CCG,30/06/2015,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,8253658,"-38,020.00",
Department of Health,NHS Rotherham CCG,30/06/2015,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,8253710,"40,841.00",
Department of Health,NHS Rotherham CCG,30/06/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS YORKSHIRE AND HUMBER CS,8253710,"100,982.00",
Department of Health,NHS Rotherham CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,8210445,"97,300.00",
Department of Health,NHS Rotherham CCG,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,8253661,"2,262,041.91",
Department of Health,NHS Rotherham CCG,30/06/2015,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,8253672,"233,854.50",
Department of Health,NHS Rotherham CCG,30/06/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,8119063,"51,820.00",
Department of Health,NHS Rotherham CCG,30/06/2015,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,8402761,"50,367.38",
