Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Voluntary Sector,ACUTE CHILDRENS SERVICES,AGE UK ROTHERHAM,7350418,"30,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7015284,"88,107.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,7101727,"80,297.38",594959072
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Commercial Sector,OUT OF HOURS,CARE UK CLINICAL SERVICES LTD,7029782,"153,128.83",594959072
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,7029782,"158,352.50",594959072
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Commercial Sector,URGENT CARE,CARE UK CLINICAL SERVICES LTD,7141455,"76,121.72",594959072
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Commercial Sector,NON RECURRENT PROGRAMMES,CARE UK CLINICAL SERVICES LTD,7141530,"31,838.08",594959072
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Voluntary Sector,PROGRAMME PROJECTS,CROSSROADS CARE ROTHERHAM,7029801,"25,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,7101932,"867,245.00",
Department of Health,NHS Rotherham CCG,31/03/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,7344345,"-32,578.71",
Department of Health,NHS Rotherham CCG,31/03/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,7344346,"56,223.51",
Department of Health,NHS Rotherham CCG,31/03/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,7344346,"1,400.70",
Department of Health,NHS Rotherham CCG,31/03/2015,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,7344348,"32,944.60",
Department of Health,NHS Rotherham CCG,31/03/2015,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ROTHERHAM GP PRACTICE,7344348,708.4,
Department of Health,NHS Rotherham CCG,31/03/2015,Computer Network Costs,NON RECURRENT PROGRAMMES,INSIGHT DIRECT (UK) LTD,6920324,"99,860.40",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,7329494,"36,778.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,7309621,"-43,967.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Prescribing,MEDICINES MANAGEMENT - CLINICAL,NHS ENGLAND,7240577,"238,000.00",654 442 045
Department of Health,NHS Rotherham CCG,31/03/2015,Prescribing,MEDICINES MANAGEMENT - CLINICAL,NHS ENGLAND,7241446,"-238,000.00",654 442 045
Department of Health,NHS Rotherham CCG,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,COMMUNITY SERVICES,NHS PROPERTY SERVICES LTD,7240909,"212,532.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,7156913,"64,739.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Serv Recd-F Trsts,MENTAL HEALTH CONTRACTS,NHS SHEFFIELD CCG,7265605,"88,225.71",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Commercial Sector,PATIENT TRANSPORT,NHS SHEFFIELD CCG,7240966,"86,942.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,7059291,"124,985.25",
Department of Health,NHS Rotherham CCG,31/03/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS YORKSHIRE AND HUMBER CS,7059291,"40,841.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Charges from CSU,PRIMARY CARE IT,NHS YORKSHIRE AND HUMBER CS,7123856,"54,235.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS YORKSHIRE AND HUMBER CS,7086062,"89,975.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Cont Care-Learning Disab(<65),CHC ADULT JOINT FUNDED,NOTTINGHAM CITY COUNCIL,7265092,"25,428.53",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Commercial Sector,NCAS/OATS,ONEHEALTH GROUP,7123322,"34,978.40",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Commercial Sector,NCAS/OATS,ONEHEALTH GROUP,7329557,"41,021.60",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7101995,"2,198,415.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7102003,"254,549.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7178607,"91,046.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7178694,"161,500.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7178624,"151,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7178646,"188,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7178664,"47,800.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7377112,"113,222.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Voluntary Sector,HOSPICES,ROTHERHAM HOSPICE TRUST (THE),7029692,"472,800.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Voluntary Sector,HOSPICES,ROTHERHAM HOSPICE TRUST (THE),7124294,"252,327.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7101771,"125,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7101787,"93,532.50",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7101792,"335,768.25",
Department of Health,NHS Rotherham CCG,31/03/2015,Social Care-Direct Payments,REABLEMENT,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7101781,"219,750.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Othe Public Sector,ACUTE CHILDRENS SERVICES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7140928,"35,130.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Othe Public Sector,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7284129,"796,220.24",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Othe Public Sector,NON RECURRENT PROGRAMMES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7267765,"500,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Othe Public Sector,NON RECURRENT PROGRAMMES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7267713,"997,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7101683,"-41,219.58",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,ROTHERHAM NHS FOUNDATION TRUST,7194588,"97,985.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,WINTER PRESSURES,ROTHERHAM NHS FOUNDATION TRUST,7059151,"345,346.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,7015132,"325,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,6992163,"50,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,7015127,"850,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Contract & Agency-Agency A & C,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7283878,"35,598.70",
Department of Health,NHS Rotherham CCG,31/03/2015,Contract & Agency-Agency Nursing,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7283878,"44,083.11",
Department of Health,NHS Rotherham CCG,31/03/2015,Oth Travel Costs-Training Trav&Subs,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7283878,"1,828.68",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,7284169,"950,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,7284211,"600,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,7284251,"8,351.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,7284251,"169,670.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,7241616,"-306,696.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,7241616,"-350,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,7298229,"3,600,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,7015087,"154,477.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7059283,"110,403.00",654400165
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7059199,"-20,040.00",654400165
Department of Health,NHS Rotherham CCG,31/03/2015,Prescribing,MEDICINES MANAGEMENT - CLINICAL,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7059199,"238,000.00",654400165
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7059309,934,654400165
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7059309,"38,625.00",654400165
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7059297,"1,544,988.00",654400165
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7059304,"188,404.00",654400165
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Voluntary Sector,ACUTE CHILDRENS SERVICES,VOLUNTARY ACTION ROTHERHAM,7141657,"30,000.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,7101936,"535,440.40",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,7029840,"51,709.00",
Department of Health,NHS Rotherham CCG,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,7101951,"103,596.50",
Department of Health,NHS Rotherham CCG,31/03/2015,Clinical&Medical-Serv Recd-NHS Trst,WINTER PRESSURES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,7086155,"38,804.00",
